Hamming_weight, Result
14.000000, 1
16.000000, 1
17.000000, 1
15.000000, 1
16.000000, 1
16.000000, 1
16.000000, 1
15.000000, 1
15.000000, 1
14.000000, 1
16.000000, 1
16.000000, 1
18.000000, 1
15.000000, 1
15.000000, 1
20.000000, 1
23.000000, 1
22.000000, 1
16.000000, 1
21.000000, 1
25.000000, 0
10.000000, 1
12.000000, 1
20.000000, 1
16.000000, 1
14.000000, 0
18.000000, 0
17.000000, 1
21.000000, 1
12.000000, 1
24.000000, 1
16.000000, 1
19.000000, 1
15.000000, 1
15.000000, 1
14.000000, 1
12.000000, 1
16.000000, 1
16.000000, 1
14.000000, 1
16.000000, 1
15.000000, 1
17.000000, 1
22.000000, 0
18.000000, 1
19.000000, 1
19.000000, 1
21.000000, 0
17.000000, 1
17.000000, 1
22.000000, 0
18.000000, 1
18.000000, 1
17.000000, 1
13.000000, 1
24.000000, 1
17.000000, 1
13.000000, 1
15.000000, 1
15.000000, 1
19.000000, 0
21.000000, 1
18.000000, 0
17.000000, 1
18.000000, 1
12.000000, 1
17.000000, 1
16.000000, 1
24.000000, 1
18.000000, 1
15.000000, 1
15.000000, 1
20.000000, 1
19.000000, 1
18.000000, 1
15.000000, 1
15.000000, 1
27.000000, 1
15.000000, 1
16.000000, 1
16.000000, 1
17.000000, 1
15.000000, 1
22.000000, 1
