TotalTime(ms),Throughput(kbp),PDR,time
13646,0.016415,1.000000,2022-05-20T19:24:02Z
26316,0.017024,1.000000,2022-05-20T19:24:15Z
38988,0.017236,1.000000,2022-05-20T19:24:28Z
51664,0.017343,1.000000,2022-05-20T19:24:41Z
64330,0.017410,1.000000,2022-05-20T19:24:53Z
77007,0.017453,1.000000,2022-05-20T19:25:06Z
89672,0.017486,1.000000,2022-05-20T19:25:19Z
102603,0.017465,1.000000,2022-05-20T19:25:31Z
115015,0.017528,1.000000,2022-05-20T19:25:44Z
127685,0.017543,1.000000,2022-05-20T19:25:57Z
140359,0.017555,1.000000,2022-05-20T19:26:09Z
153247,0.017540,1.000000,2022-05-20T19:26:22Z
165921,0.017551,1.000000,2022-05-20T19:26:35Z
203749,0.015391,0.875000,2022-05-20T19:27:13Z
216381,0.015528,0.882353,2022-05-20T19:27:25Z
229061,0.015647,0.888889,2022-05-20T19:27:38Z
254417,0.014968,0.850000,2022-05-20T19:28:03Z
267066,0.015097,0.857143,2022-05-20T19:28:16Z
279957,0.015202,0.863636,2022-05-20T19:28:29Z
292632,0.015309,0.869565,2022-05-20T19:28:41Z
305106,0.015418,0.875000,2022-05-20T19:28:54Z
330431,0.014914,0.846154,2022-05-20T19:29:19Z
343394,0.015003,0.851852,2022-05-20T19:29:32Z
355776,0.015111,0.857143,2022-05-20T19:29:45Z
381109,0.014694,0.833333,2022-05-20T19:30:10Z
393858,0.014787,0.838710,2022-05-20T19:30:23Z
406458,0.014880,0.843750,2022-05-20T19:30:35Z
419132,0.014964,0.848485,2022-05-20T19:30:48Z
431794,0.015044,0.852941,2022-05-20T19:31:01Z
444475,0.015119,0.857143,2022-05-20T19:31:13Z
457139,0.015190,0.861111,2022-05-20T19:31:26Z
470027,0.015250,0.864865,2022-05-20T19:31:39Z
482486,0.015321,0.868421,2022-05-20T19:31:51Z
495159,0.015381,0.871795,2022-05-20T19:32:04Z
507823,0.015438,0.875000,2022-05-20T19:32:17Z
520498,0.015493,0.878049,2022-05-20T19:32:29Z
533169,0.015545,0.880952,2022-05-20T19:32:42Z
545836,0.015594,0.883721,2022-05-20T19:32:55Z
558512,0.015642,0.886364,2022-05-20T19:33:07Z
571404,0.015681,0.888889,2022-05-20T19:33:20Z
583853,0.015730,0.891304,2022-05-20T19:33:33Z
596526,0.015771,0.893617,2022-05-20T19:33:45Z
609195,0.015811,0.895833,2022-05-20T19:33:58Z
634687,0.015529,0.880000,2022-05-20T19:34:24Z
647214,0.015574,0.882353,2022-05-20T19:34:36Z
659879,0.015615,0.884615,2022-05-20T19:34:49Z
672768,0.015649,0.886792,2022-05-20T19:35:02Z
685225,0.015691,0.888889,2022-05-20T19:35:14Z
697983,0.015725,0.890909,2022-05-20T19:35:27Z
710831,0.015756,0.892857,2022-05-20T19:35:40Z
735918,0.015523,0.879310,2022-05-20T19:36:05Z
748582,0.015560,0.881356,2022-05-20T19:36:17Z
761253,0.015595,0.883333,2022-05-20T19:36:30Z
786596,0.015378,0.870968,2022-05-20T19:36:55Z
799271,0.015414,0.873016,2022-05-20T19:37:08Z
812152,0.015445,0.875000,2022-05-20T19:37:21Z
824610,0.015484,0.876923,2022-05-20T19:37:33Z
862626,0.015061,0.852941,2022-05-20T19:38:11Z
875297,0.015099,0.855072,2022-05-20T19:38:24Z
887965,0.015136,0.857143,2022-05-20T19:38:37Z
900662,0.015171,0.859155,2022-05-20T19:38:50Z
913309,0.015206,0.861111,2022-05-20T19:39:02Z
926198,0.015236,0.863014,2022-05-20T19:39:15Z
938659,0.015273,0.864865,2022-05-20T19:39:28Z
951324,0.015305,0.866667,2022-05-20T19:39:40Z
963997,0.015336,0.868421,2022-05-20T19:39:53Z
976674,0.015366,0.870130,2022-05-20T19:40:06Z
1002009,0.015201,0.860759,2022-05-20T19:40:31Z
1014679,0.015232,0.862500,2022-05-20T19:40:44Z
1027355,0.015262,0.864198,2022-05-20T19:40:56Z
1040028,0.015292,0.865854,2022-05-20T19:41:09Z
1052698,0.015321,0.867470,2022-05-20T19:41:22Z
1065366,0.015349,0.869048,2022-05-20T19:41:34Z
1078255,0.015373,0.870588,2022-05-20T19:41:47Z
1090713,0.015403,0.872093,2022-05-20T19:42:00Z
1103384,0.015429,0.873563,2022-05-20T19:42:12Z
1116057,0.015454,0.875000,2022-05-20T19:42:25Z
1128943,0.015476,0.876404,2022-05-20T19:42:38Z
1141410,0.015504,0.877778,2022-05-20T19:42:50Z
1154297,0.015525,0.879121,2022-05-20T19:43:03Z
1166955,0.015548,0.880435,2022-05-20T19:43:16Z
1179413,0.015574,0.881720,2022-05-20T19:43:28Z
1192092,0.015596,0.882979,2022-05-20T19:43:41Z
1204753,0.015618,0.884211,2022-05-20T19:43:54Z
1217430,0.015639,0.885417,2022-05-20T19:44:06Z
1230401,0.015657,0.886598,2022-05-20T19:44:19Z
1242804,0.015681,0.887755,2022-05-20T19:44:32Z
1255600,0.015699,0.888889,2022-05-20T19:44:44Z
1268334,0.015718,0.890000,2022-05-20T19:44:57Z
1293457,0.015586,0.882353,2022-05-20T19:45:22Z
1306345,0.015604,0.883495,2022-05-20T19:45:35Z
1318796,0.015626,0.884615,2022-05-20T19:45:48Z
1331690,0.015643,0.885714,2022-05-20T19:46:01Z
1344190,0.015664,0.886792,2022-05-20T19:46:13Z
1356812,0.015684,0.887850,2022-05-20T19:46:26Z
1369511,0.015702,0.888889,2022-05-20T19:46:38Z
1382377,0.015718,0.889908,2022-05-20T19:46:51Z
1394842,0.015738,0.890909,2022-05-20T19:47:04Z
1407493,0.015756,0.891892,2022-05-20T19:47:16Z
1420167,0.015773,0.892857,2022-05-20T19:47:29Z
1432843,0.015790,0.893805,2022-05-20T19:47:42Z
1445539,0.015806,0.894737,2022-05-20T19:47:54Z
1470895,0.015686,0.887931,2022-05-20T19:48:20Z
1483534,0.015703,0.888889,2022-05-20T19:48:32Z
1496204,0.015720,0.889831,2022-05-20T19:48:45Z
1508873,0.015736,0.890756,2022-05-20T19:48:58Z
1534434,0.015620,0.884298,2022-05-20T19:49:23Z
1546885,0.015639,0.885246,2022-05-20T19:49:36Z
1559563,0.015656,0.886179,2022-05-20T19:49:48Z
1572243,0.015672,0.887097,2022-05-20T19:50:01Z
1584902,0.015688,0.888000,2022-05-20T19:50:14Z
1597572,0.015704,0.888889,2022-05-20T19:50:26Z
1622917,0.015597,0.882812,2022-05-20T19:50:52Z
1635590,0.015613,0.883721,2022-05-20T19:51:04Z
1648260,0.015629,0.884615,2022-05-20T19:51:17Z
1661005,0.015644,0.885496,2022-05-20T19:51:30Z
1673597,0.015660,0.886364,2022-05-20T19:51:42Z
1686495,0.015673,0.887218,2022-05-20T19:51:55Z
1711615,0.015574,0.881481,2022-05-20T19:52:20Z
1724289,0.015589,0.882353,2022-05-20T19:52:33Z
1736966,0.015604,0.883212,2022-05-20T19:52:46Z
1749635,0.015619,0.884058,2022-05-20T19:52:58Z
1774976,0.015522,0.878571,2022-05-20T19:53:24Z
1787848,0.015536,0.879433,2022-05-20T19:53:37Z
1800322,0.015553,0.880282,2022-05-20T19:53:49Z
