TotalTime(ms),Throughput(kbp),PDR,time
4943,0.045319,1.000000,2023-05-02T19:12:46Z
5982,0.037446,1.000000,2023-05-02T19:12:47Z
6992,0.032039,1.000000,2023-05-02T19:12:48Z
7964,0.028125,1.000000,2023-05-02T19:12:49Z
8979,0.024948,1.000000,2023-05-02T19:12:50Z
9986,0.022432,1.000000,2023-05-02T19:12:51Z
10998,0.020368,1.000000,2023-05-02T19:12:52Z
12003,0.018662,1.000000,2023-05-02T19:12:53Z
13010,0.017218,1.000000,2023-05-02T19:12:54Z
14014,0.015984,1.000000,2023-05-02T19:12:55Z
15013,0.014920,1.000000,2023-05-02T19:12:56Z
16031,0.013973,1.000000,2023-05-02T19:12:57Z
17033,0.026301,1.000000,2023-05-02T19:12:58Z
18043,0.024830,1.000000,2023-05-02T19:12:59Z
19046,0.023522,1.000000,2023-05-02T19:13:00Z
20058,0.022335,1.000000,2023-05-02T19:13:01Z
21068,0.021264,1.000000,2023-05-02T19:13:02Z
22081,0.020289,1.000000,2023-05-02T19:13:03Z
23082,0.019409,1.000000,2023-05-02T19:13:04Z
24096,0.018592,1.000000,2023-05-02T19:13:05Z
25104,0.017846,1.000000,2023-05-02T19:13:06Z
26119,0.017153,1.000000,2023-05-02T19:13:07Z
27125,0.016516,1.000000,2023-05-02T19:13:08Z
28151,0.015914,1.000000,2023-05-02T19:13:09Z
29161,0.023044,1.000000,2023-05-02T19:13:10Z
30154,0.022286,1.000000,2023-05-02T19:13:11Z
31159,0.021567,1.000000,2023-05-02T19:13:12Z
32170,0.020889,1.000000,2023-05-02T19:13:13Z
33175,0.020256,1.000000,2023-05-02T19:13:14Z
34256,0.019617,1.000000,2023-05-02T19:13:15Z
35184,0.019100,1.000000,2023-05-02T19:13:16Z
36192,0.018568,1.000000,2023-05-02T19:13:17Z
37197,0.018066,1.000000,2023-05-02T19:13:18Z
38210,0.017587,1.000000,2023-05-02T19:13:19Z
39224,0.017132,1.000000,2023-05-02T19:13:20Z
40227,0.016705,1.000000,2023-05-02T19:13:21Z
41243,0.021725,1.000000,2023-05-02T19:13:22Z
42255,0.021205,1.000000,2023-05-02T19:13:23Z
43265,0.020709,1.000000,2023-05-02T19:13:24Z
44276,0.020236,1.000000,2023-05-02T19:13:25Z
45300,0.019779,1.000000,2023-05-02T19:13:26Z
46287,0.019358,1.000000,2023-05-02T19:13:27Z
47297,0.018944,1.000000,2023-05-02T19:13:28Z
48309,0.018547,1.000000,2023-05-02T19:13:29Z
49318,0.018168,1.000000,2023-05-02T19:13:30Z
50316,0.017807,1.000000,2023-05-02T19:13:31Z
51390,0.017435,1.000000,2023-05-02T19:13:32Z
52346,0.017117,1.000000,2023-05-02T19:13:33Z
53357,0.020991,1.000000,2023-05-02T19:13:34Z
54365,0.020602,1.000000,2023-05-02T19:13:35Z
55366,0.020229,1.000000,2023-05-02T19:13:36Z
56372,0.019868,1.000000,2023-05-02T19:13:37Z
57378,0.019520,1.000000,2023-05-02T19:13:38Z
58392,0.019181,1.000000,2023-05-02T19:13:39Z
59391,0.018858,1.000000,2023-05-02T19:13:40Z
60397,0.018544,1.000000,2023-05-02T19:13:42Z
61407,0.018239,1.000000,2023-05-02T19:13:43Z
62421,0.017943,1.000000,2023-05-02T19:13:44Z
63416,0.017661,1.000000,2023-05-02T19:13:45Z
64424,0.017385,1.000000,2023-05-02T19:13:46Z
65438,0.020538,1.000000,2023-05-02T19:13:47Z
66455,0.020224,1.000000,2023-05-02T19:13:48Z
67462,0.019922,1.000000,2023-05-02T19:13:49Z
68464,0.019631,1.000000,2023-05-02T19:13:50Z
69475,0.019345,1.000000,2023-05-02T19:13:51Z
70478,0.019070,1.000000,2023-05-02T19:13:52Z
71489,0.018800,1.000000,2023-05-02T19:13:53Z
72585,0.018516,1.000000,2023-05-02T19:13:54Z
73495,0.018287,1.000000,2023-05-02T19:13:55Z
74507,0.018039,1.000000,2023-05-02T19:13:56Z
75511,0.017799,1.000000,2023-05-02T19:13:57Z
76522,0.017564,1.000000,2023-05-02T19:13:58Z
77530,0.020224,1.000000,2023-05-02T19:13:59Z
78533,0.019966,1.000000,2023-05-02T19:14:00Z
79548,0.019711,1.000000,2023-05-02T19:14:01Z
80560,0.019464,1.000000,2023-05-02T19:14:02Z
81568,0.019223,1.000000,2023-05-02T19:14:03Z
82579,0.018988,1.000000,2023-05-02T19:14:04Z
83587,0.018759,1.000000,2023-05-02T19:14:05Z
84627,0.018528,1.000000,2023-05-02T19:14:06Z
85602,0.018317,1.000000,2023-05-02T19:14:07Z
86606,0.018105,1.000000,2023-05-02T19:14:08Z
87622,0.017895,1.000000,2023-05-02T19:14:09Z
88623,0.017693,1.000000,2023-05-02T19:14:10Z
89637,0.019992,1.000000,2023-05-02T19:14:11Z
90643,0.019770,1.000000,2023-05-02T19:14:12Z
91660,0.019550,1.000000,2023-05-02T19:14:13Z
