TotalTime(ms),Throughput(kbp),PDR,data,time
15744,0.014228,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:40:27Z
28418,0.015765,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:40:40Z
41080,0.016359,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:40:53Z
53746,0.016671,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:41:05Z
66643,0.016806,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:41:18Z
79100,0.016991,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:41:31Z
91768,0.017086,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:41:43Z
117114,0.015301,0.888889,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:42:09Z
129777,0.015534,0.900000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:42:21Z
142468,0.015723,0.909091,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:42:34Z
180553,0.013647,0.785714,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:43:12Z
193133,0.013918,0.800000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:43:25Z
205857,0.014146,0.812500,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:43:37Z
231150,0.013567,0.777778,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:44:03Z
244086,0.013766,0.789474,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:44:16Z
256512,0.013972,0.800000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:44:28Z
282150,0.013496,0.772727,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:44:54Z
294736,0.013680,0.782609,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:45:06Z
307173,0.013855,0.791667,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:45:19Z
320148,0.013994,0.800000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:45:32Z
332528,0.014146,0.807692,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:45:44Z
345407,0.014267,0.814815,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:45:57Z
357863,0.014397,0.821429,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:46:09Z
383203,0.014029,0.800000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:46:35Z
395875,0.014146,0.806452,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:46:47Z
408545,0.014255,0.812500,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:47:00Z
434124,0.013932,0.794118,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:47:26Z
446562,0.014045,0.800000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:47:38Z
459458,0.014138,0.805556,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:47:51Z
472121,0.014234,0.810811,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:48:04Z
484581,0.014330,0.815789,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:48:16Z
497246,0.014415,0.820513,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:48:29Z
509918,0.014496,0.825000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:48:42Z
522805,0.014568,0.829268,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:48:54Z
535269,0.014647,0.833333,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:49:07Z
548160,0.014711,0.837209,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:49:20Z
560610,0.014784,0.840909,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:49:32Z
585976,0.014526,0.826087,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:49:58Z
598622,0.014594,0.829787,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:50:10Z
611287,0.014658,0.833333,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:50:23Z
636660,0.014425,0.820000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:50:48Z
649299,0.014489,0.823529,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:51:01Z
661973,0.014550,0.826923,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:51:14Z
674739,0.014607,0.830189,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:51:26Z
687323,0.014666,0.833333,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:51:39Z
700224,0.014715,0.836364,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:51:52Z
712879,0.014768,0.839286,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:52:04Z
725343,0.014823,0.842105,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:52:17Z
738006,0.014873,0.844828,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:52:30Z
750678,0.014920,0.847458,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:52:42Z
763354,0.014966,0.850000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:52:55Z
776239,0.015006,0.852459,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:53:08Z
788692,0.015053,0.854839,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:53:20Z
801444,0.015093,0.857143,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:53:33Z
814245,0.015131,0.859375,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:53:46Z
826940,0.015169,0.861538,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:53:59Z
839592,0.015207,0.863636,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:54:11Z
852052,0.015248,0.865672,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:54:24Z
864772,0.015283,0.867647,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:54:36Z
877844,0.015310,0.869565,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:54:49Z
890059,0.015352,0.871429,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:55:02Z
903136,0.015378,0.873239,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:55:15Z
915406,0.015416,0.875000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:55:27Z
928292,0.015443,0.876712,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:55:40Z
940752,0.015477,0.878378,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:55:52Z
953417,0.015506,0.880000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:56:05Z
966140,0.015534,0.881579,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:56:18Z
991712,0.015359,0.871795,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:56:43Z
1004315,0.015390,0.873418,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:56:56Z
1016781,0.015421,0.875000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:57:08Z
1042126,0.015261,0.865854,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:57:34Z
1054787,0.015290,0.867470,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:57:46Z
1067617,0.015316,0.869048,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:57:59Z
1080351,0.015343,0.870588,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:58:12Z
1092798,0.015373,0.872093,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:58:24Z
1105465,0.015400,0.873563,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:58:37Z
1118451,0.015421,0.875000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:58:50Z
1143489,0.015280,0.866667,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:59:15Z
1156375,0.015303,0.868132,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:59:28Z
1169047,0.015329,0.869565,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:59:41Z
1182321,0.015346,0.870968,AWcAAAJoAAMCAAAEAgAA,2022-06-07T15:59:54Z
1194202,0.015381,0.872340,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:00:06Z
1206845,0.015405,0.873684,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:00:18Z
1219518,0.015429,0.875000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:00:31Z
1232410,0.015449,0.876289,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:00:44Z
1244875,0.015475,0.877551,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:00:56Z
1257819,0.015493,0.878788,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:01:09Z
1270417,0.015516,0.880000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:01:22Z
1283094,0.015537,0.881188,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:01:35Z
1295542,0.015561,0.882353,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:01:47Z
1308432,0.015579,0.883495,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:02:00Z
1320884,0.015602,0.884615,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:02:13Z
1333769,0.015619,0.885714,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:02:25Z
1346324,0.015640,0.886792,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:02:38Z
1358929,0.015659,0.887850,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:02:51Z
1371598,0.015678,0.888889,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:03:03Z
1384255,0.015697,0.889908,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:03:16Z
1396913,0.015715,0.890909,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:03:29Z
1409601,0.015732,0.891892,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:03:41Z
1422259,0.015750,0.892857,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:03:54Z
1434928,0.015767,0.893805,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:04:07Z
1447598,0.015783,0.894737,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:04:19Z
1460307,0.015799,0.895652,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:04:32Z
1472943,0.015816,0.896552,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:04:45Z
1485617,0.015832,0.897436,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:04:57Z
1498498,0.015845,0.898305,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:05:10Z
1510957,0.015863,0.899160,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:05:23Z
1523621,0.015878,0.900000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:05:35Z
1536315,0.015893,0.900826,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:05:48Z
1549009,0.015907,0.901639,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:06:01Z
1561640,0.015922,0.902439,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:06:13Z
1574313,0.015936,0.903226,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:06:26Z
1587204,0.015948,0.904000,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:06:39Z
1599663,0.015963,0.904762,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:06:51Z
1612321,0.015977,0.905512,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:07:04Z
1624993,0.015990,0.906250,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:07:17Z
1637671,0.016003,0.906977,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:07:29Z
1650341,0.016016,0.907692,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:07:42Z
1663109,0.016028,0.908397,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:07:55Z
1675682,0.016041,0.909091,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:08:07Z
1688437,0.016053,0.909774,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:08:20Z
1701067,0.016065,0.910448,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:08:33Z
1713712,0.016077,0.911111,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:08:45Z
1726703,0.016086,0.911765,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:08:58Z
1739254,0.016099,0.912409,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:09:11Z
1751710,0.016112,0.913043,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:09:23Z
1764389,0.016123,0.913669,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:09:36Z
1777055,0.016135,0.914286,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:09:49Z
1789944,0.016144,0.914894,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:10:02Z
1802397,0.016156,0.915493,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:10:14Z
1815072,0.016167,0.916084,AWcAAAJoAAMCAAAEAgAA,2022-06-07T16:10:27Z
