Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAegABsSs9y12Uv9rzm41RPeXTukdz7Q==,QBXq3gAAegABsSs9y12Uv9rzm41RPeXTukdz7Q==,QBXq3gAAegABsSs9y12Uv9rzm41RPeXTukdz7Q==,QBXq3gAAegABsSs9y12Uv9rzm41RPeXTukdz7Q==,0.942623, 2022-05-24T13:38:46Z, 1558490, 0.016529
QBXq3gAAewABNGre459S5AwOb9RdyZKrtpXYyg==,QBXq3gAAewABNGre459S5AwOb9RdyZKrtpXYyg==,QBXq3gAAewABNGre459S5AwOb9RdyZKrtpXYyg==,QBXq3gAAewABNGre459S5AwOb9RdyZKrtpXYyg==,0.943089, 2022-05-24T13:38:59Z, 1571152, 0.016538
QBXq3gAAfAABBhjBDBL3bWlVuoBV89rmq9C+6A==,QBXq3gAAfAABBhjBDBLfbWmBuoDf89rmq9C+6A==,QBXq3gAAfAABBhjBDBL3bWmBuoA789rmVdC+6A==,QBXq3gAAfAABBhjBDBL3bWmBuoA781Xmq9C+6A==,0.943548, 2022-05-24T13:39:12Z, 1584048, 0.016545
QBXq3gAAfQABDq7lPIF4AjOVGvKVWSmvpG8OTQ==,QBXq3gAAfQABDq7lPIGVAjNIGvKVWSmvpG8OTQ==,QBXq3gAAfQABDq7lPIF4AjNIGvI6WSmvlW8OTQ==,QBXq3gAAfQABDq7lPIF4AjNIGvI6WZWvpG8OTQ==,0.936000, 2022-05-24T13:39:24Z, 1596745, 0.016413
QBXq3gAAfgABrKkOmzNgSPQp4AIpWroEJweMRw==,QBXq3gAAfgABrKkOmzMpSPRZ4AIpWroEJweMRw==,QBXq3gAAfgABrKkOmzNgSPRZ4AIrWroEKQeMRw==,QBXq3gAAfgABrKkOmzNgSPRZ4AIrWikEJweMRw==,0.936508, 2022-05-24T13:39:37Z, 1609387, 0.016424
QBXq3gAAfwABUzGS0bLcNdovGcp96EJ1muuFaA==,QBXq3gAAfwABUzGS0bLcNdovGcp96EJ1muuFaA==,QBXq3gAAfwABUzGS0bLcNdovGcp96EJ1muuFaA==,QBXq3gAAfwABUzGS0bLcNdovGcp96EJ1muuFaA==,0.937008, 2022-05-24T13:39:50Z, 1621836, 0.016436
QBXq3gAAgAABtBGJPCz/A560gm+0oNFUF/RvDA==,QBXq3gAAgAABtBGJPCy0A55Jgm+0oNFUF/RvDA==,QBXq3gAAgAABtBGJPCz/A55Jgm+QoNFUtPRvDA==,QBXq3gAAgAABtBGJPCz/A55Jgm+QoLRUF/RvDA==,0.937500, 2022-05-24T13:40:02Z, 1634731, 0.016443
QBXq3gAAgQABak/zr9XSz6SOhA6pXkvkhx1G6A==,QBXq3gAAgQABak/zr9XSz6SOhA6pXkvkhx1G6A==,QBXq3gAAgQABak/zr9XSz6SOhA6pXkvkhx1G6A==,QBXq3gAAgQABak/zr9XSz6SOhA6pXkvkhx1G6A==,0.937984, 2022-05-24T13:40:15Z, 1647179, 0.016455
QBXq3gAAggABYjldiH2nJ3TE/pzEZfuH+abfrg==,QBXq3gAAggABYjldiH3EJ3Re/pzEZfuH+abfrg==,QBXq3gAAggABYjkdiH2nh/Re/sxARXuHxMXXrg==,QBXq3gAAggABYjldiH2nJ3Re/pxDZcSH+abfrg==,0.930769, 2022-05-24T13:40:28Z, 1660072, 0.016327
QBXq3gAAgwABN0ThkFWUM+CX1yyS5NMp3sga1w==,QBXq3gAAgwABN0ThkFWUM+CX1yyS5NMp3sga1w==,QBXq3gAAgwABN0ThkFWUM+CX1yyS5NMp3sga1w==,QBXq3gAAgwABN0ThkFWUM+CX1yyS5NMp3sga1w==,0.931298, 2022-05-24T13:40:40Z, 1672522, 0.016339
QBXq3gAAhAABQ1MGQhfc5E1EUhBESk2sLZlHVQ==,QBXq3gAAhAABQ1MGQhdE5E31UhBESk2sLZlHVQ==,QBXq3gAAhAABQ1MGQhfc5E31UhB9Sk2sRJlHVQ==,QBXq3gAAhAABQ1MGQhfc5E31UhB9SkSsLZlHVQ==,0.931818, 2022-05-24T13:40:53Z, 1685204, 0.016349
QBXq3gAAhQABDZPqZu5usxLwSHrwZSWQohposw==,QBXq3gAAhQABDZPqZu7wsxLgSHrwZSWQohposw==,QBXq3gAAhQABDZPqZu5usxLgSHq3ZSWQ8Bposw==,QBXq3gAAhQABDZPqZu5usxLgSHq3ZfCQohposw==,0.932331, 2022-05-24T13:41:06Z, 1698092, 0.016357
QBXq3gAAhgABp2r1aSf5u8xdXWvnsMWakMxOzQ==,QBXq3gAAhgABp2r1aSf5u8xdXWvnsMWakMxOzQ==,QBXq3gAAhgABp2r1aSf5u8xdXWvnsMWakMxOzQ==,QBXq3gAAhgABp2r1aSf5u8xdXWvnsMWakMxOzQ==,0.932836, 2022-05-24T13:41:18Z, 1710544, 0.016369
QBXq3gAAhwABBcviL8gYNX0+OD8+OxJr7PzZWA==,QBXq3gAAhwABBcviL8g+NX1wOD8+OxJr7PzZWA==,QBXq3gAAhwABBcviL8gYNX1wOD+iOxJrPvzZWA==,QBXq3gAAhwABBcviL8gYNX1wOD+iOz5r7PzZWA==,0.933333, 2022-05-24T13:41:31Z, 1723218, 0.016379
QBXq3gAAiAAB1xiOuyG7u6V5SkB5V5P1jTbGyw==,QBXq3gAAiAAB1xiOuyF5u6UmSkB5V5P1jTbGyw==,QBXq3gAAiAAB1xiOuyG7u6UmSkBKV5P1eTbGyw==,QBXq3gAAiAAB1xiOuyG7u6UmSkBKV3n1jTbGyw==,0.933824, 2022-05-24T13:41:44Z, 1736185, 0.016385
QBXq3gAAiQABogPXvIAMmMI44uukYh9beSDDJg==,QBXq3gAAiQABogPXvIAMmMI44uukYh9beSDDJg==,QBXq3gAAiQABogPXvIAMmMI44uukYh9beSDDJg==,QBXq3gAAiQABogPXvIAMmMI44uukYh9beSDDJg==,0.934307, 2022-05-24T13:41:56Z, 1748556, 0.016398
QBXq3gAAigABxNAMH05JpUhfsSZfy8Iczh8kIg==,QBXq3gAAigABxNAMH05fpUjdsSZfy8Iczh8kIg==,QBXq3gAAigABxNAMH05JpUjdsSbby8IcXx8kIg==,QBXq3gAAigABxNAMH05JpUjdsSbby18czh8kIg==,0.934783, 2022-05-24T13:42:09Z, 1761239, 0.016407
QBXq3gAAiwABIl+/0nhBpkaXRx+RSpWwnD3c4A==,QBXq3gAAiwABIl+/0nhBpkaXRx+RSpWwnD3c4A==,QBXq3gAAiwABIl+/0nhBpkaXRx+RSpWwnD3c4A==,QBXq3gAAiwABIl+/0nhBpkaXRx+RSpWwnD3c4A==,0.935252, 2022-05-24T13:42:22Z, 1773900, 0.016416
QBXq3gAAjAABuapTiA98bqKPwhmPHKJhuAp3Rg==,QBXq3gAAjAABuapTiA+PbqLuwhmPHKJhuAp3Rg==,QBXq3gAAjAABuapTiA98bqLuwhnnHKJhjwp3Rg==,QBXq3gAAjAABuapTiA98bqLuwhnnHI9huAp3Rg==,0.935714, 2022-05-24T13:42:34Z, 1786602, 0.016424
QBXq3gAAjQABz9Nna8FAdO7ORF09a19rlivsWQ==,QBXq3gAAjQABz9Nna8FAdO7ORF09a19rlivsWQ==,QBXq3gAAjQABz9Nna8FAdO7ORF09a19rlivsWQ==,QBXq3gAAjQABz9Nna8FAdO7ORF09a19rlivsWQ==,0.936170, 2022-05-24T13:42:47Z, 1799244, 0.016434
QBXq3gAAjgABaAVa2Ux5XaUbdq7tXS5UsXg3Bw==,QBXq3gAAjgABaAVa2Ux5XaUbdq7tXS5UsXg3Bw==,QBXq3gAAjgABaAVa2Ux5XaUbdq7tXS5UsXg3Bw==,QBXq3gAAjgABaAVa2Ux5XaUbdq7tXS5UsXg3Bw==,0.936620, 2022-05-24T13:43:00Z, 1811915, 0.016442
