Data1,Data2,Data3,Data4,Data5,Data6,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAagABHxzMJwEAFPA110LsC/xQ/03n3A==,QBXq3gAAagABHxzMJwEAFPA110LsC/xQ/03n3A==,QBXq3gAAagABHxzMJwEAFPA110LsC/xQ/03n3A==,QBXq3gAAagABHxzMJwEAFPA110LsC/xQ/03n3A==,,,0.831776, 2022-06-04T19:49:55Z, 1356104, 0.014701
QBXq3gAAawABgT96B6QKilSWgWOT1aJ7GKhDHA==,QBXq3gAAawABgT96B6QKilSWgWOT1aJ7GKhDHA==,QBXq3gAAawABgT96B6QKilSWgWOT1aJ7GKhDHA==,QBXq3gAAawABgT96B6QKilSWgWOT1aJ7GKhDHA==,,,0.833333, 2022-06-04T19:50:07Z, 1368777, 0.014728
QBXq3gAAbAABK4XOxyH6tKeOqS2OBemdRrfjJg==,QBXq3gAAbAABK4XOxyGOtKfyqS2OBemdRrfjJg==,QBXq3gAAbAABK4XOxyH6tKfyqS1jBemdjrfjJg==,QBXq3gAAbAABK4XOxyH6tKfyqS1jBY6dRrfjJg==,,,0.825688, 2022-06-04T19:50:20Z, 1381669, 0.014591
QBXq3gAAbQAB1NLrg53kflpiJ+gz+nvA+WlMVA==,QBXq3gAAbQAB1NLrg53kflpiJ+gz+nvA+WlMVA==,QBXq3gAAbQAB1NLrg53kflpiJ+gz+nvA+WlMVA==,QBXq3gAAbQAB1NLrg53kflpiJ+gz+nvA+WlMVA==,,,0.827273, 2022-06-04T19:50:33Z, 1394129, 0.014621
QBXq3gAAbgABWvsCf/FL6IqFVHmFMCxU5On4kQ==,QBXq3gAAbgABWvsCf/GF6IrHVHmFMCxU5On4kQ==,QBXq3gAAbgABWvsCf/FL6IrHVHkcMCxUhen4kQ==,QBXq3gAAbgABWvsCf/FL6IrHVHkcMIVU5On4kQ==,,,0.819820, 2022-06-04T19:50:46Z, 1407012, 0.014487
QBXq3gAAbwAB2w5Xxwj/O9ldTHQFEU4aKeIMQA==,QBXq3gAAbwAB2w5Xxwj/O9ldTHQFEU4aKeIMQA==,QBXq3gAAbwAB2w5Xxwj/O9ldTHQFEU4aKeIMQA==,QBXq3gAAbwAB2w5Xxwj/O9ldTHQFEU4aKeIMQA==,,,0.821429, 2022-06-04T19:50:58Z, 1419464, 0.014518
QBXq3gAAcAABqBmPWbHpYEjyoS/yPvJA4qCV0w==,QBXq3gAAcAABqBmPWbHyYEg1oS/yPvJA8qCV0w==,QBXq3gAAcAABqBmPWbHpYEg1oS89PvJA8qCV0w==,QBXq3gAAcAABqBmPWbHpYEg1oS89PvJA4qCV0w==,,,0.823009, 2022-06-04T19:51:11Z, 1432154, 0.014546
QBXq3gAAcQAB6sVk55/3fKCMltMeaBr8jc3n7A==,QBXq3gAAcQAB6sVk55/3fKCMltMeaBr8jc3n7A==,QBXq3gAAcQAB6sVk55/3fKCMltMeaBr8jc3n7A==,QBXq3gAAcQAB6sVk55/3fKCMltMeaBr8jc3n7A==,,,0.824561, 2022-06-04T19:51:23Z, 1444812, 0.014574
QBXq3gAAcgAB5oWSwJ0oNVaL1ZKLnspmoC+tQQ==,QBXq3gAAcgAB5oWSwJ2LNVZA1ZKLnspmoC+tQQ==,QBXq3gAAcgAB5oWSwJ0oNVZA1ZJHnspmiy+tQQ==,QBXq3gAAcgAB5oWSwJ0oNVZA1ZJHnotmoC+tQQ==,,,0.826087, 2022-06-04T19:51:36Z, 1457483, 0.014601
QBXq3gAAcwABBSqQ4wgnvMUhucEhckmlenT3/g==,QBXq3gAAcwABBSqQ4wghvMXducEhckmlenT3/g==,QBXq3gAAcwABBSqQ4wgnvMXducEOckmlIXT3/g==,QBXq3gAAcwABBSqQ4wgnvMXducEOciGlenT3/g==,,,0.827586, 2022-06-04T19:51:49Z, 1470372, 0.014625
QBXq3gAAdAABIhHOepf62QLkhCLkPE7ODlkTWg==,QBXq3gAAdAABIhHOepfz2QLJhCLzPE7ODlkTWg==,QBXq3gAAdAABIhHOepf62QLJhCJuPE7O5FkTWg==,QBXq3gAAdAABIhHOepf62QLJhCJuPOTODlkTWg==,,,0.820513, 2022-06-04T19:52:02Z, 1483046, 0.014500
QBXq3gAAdQAByEVsDd+s2F7DL9nDYRh4alAcKQ==,QBXq3gAAdQAByEVsDd/D2F6cL9nDYRh4alAcKQ==,QBXq3gAAdQAByEVsDd+s2F6cL9noYRh4w1AcKQ==,QBXq3gAAdQAByEVsDd+s2F6cL9noYcN4alAcKQ==,,,0.813559, 2022-06-04T19:52:14Z, 1495717, 0.014377
QBXq3gAAdgAB2noX6pyirlj265ZN5zppLM8Hdg==,QBXq3gAAdgAB2noX6pyirlj265ZN5zppLM8Hdg==,QBXq3gAAdgAB2noX6pyirlj265ZN5zppLM8Hdg==,QBXq3gAAdgAB2noX6pyirlj265ZN5zppLM8Hdg==,,,0.815126, 2022-06-04T19:52:27Z, 1508166, 0.014407
QBXq3gAAeAABmmVbogdVm83R6evRf9VbCbcWbg==,QBXq3gAAeAABmmVbogfRm83A6evRf9VbCbcWbg==,QBXq3gAAeAABmmVbogdVm83A6etdf9Vb0bcWbg==,QBXq3gAAeAABmmVbogdVm83A6etdf9FbCbcWbg==,,,0.816667, 2022-06-04T19:52:52Z, 1533542, 0.014315
QBXq3gAAeQAByZWvqtYsiNcYC+MYy32dcwZODQ==,QBXq3gAAeQAByZWvqtYYiNcFC+MYy32dcwZODQ==,QBXq3gAAeQAByZWvqtYsiNcFC+Pwy32dGAZODQ==,QBXq3gAAeQAByZWvqtYsiNcFC+PwyxidcwZODQ==,,,0.818182, 2022-06-04T19:53:05Z, 1546204, 0.014342
QBXq3gAAegABsSs9y12Uv9rzm41RPeXTukdz7Q==,QBXq3gAAegABsSs9y12Uv9rzm41RPeXTukdz7Q==,QBXq3gAAegABsSs9y12Uv9rzm41RPeXTukdz7Q==,QBXq3gAAegABsSs9y12Uv9rzm41RPeXTukdz7Q==,,,0.819672, 2022-06-04T19:53:18Z, 1558858, 0.014369
QBXq3gAAewABNGre459S5AwOb9RdyZKrtpXYyg==,QBXq3gAAewABNGre459S5AwOb9RdyZKrtpXYyg==,QBXq3gAAewABNGre459S5AwOb9RdyZKrtpXYyg==,QBXq3gAAewABNGre459S5AwOb9RdyZKrtpXYyg==,,,0.821138, 2022-06-04T19:53:30Z, 1571576, 0.014396
QBXq3gAAfAABBhjBDBL3bWmduoCd89rmq9C+6A==,QBXq3gAAfAABBhjBDBKdbWmBuoCd89rmq9C+6A==,QBXq3gAAfAABBhjBDBL3bWmBuoA789rmndC+6A==,QBXq3gAAfAABBhjBDBL3bWmBuoA7853mq9C+6A==,,,0.822581, 2022-06-04T19:53:43Z, 1584205, 0.014422
QBXq3gAAfQABDq7lPIF4AjPIGvLIWSmvpG8OTQ==,QBXq3gAAfQABDq7lPIHIAjNIGvLIWSmvpG8OTQ==,QBXq3gAAfQABDq7lPIF4AjNIGvI6WSmvVm8OTQ==,QBXq3gAAfQABDq7lPIF4AjNIGvI6WcivpG8OTQ==,,,0.824000, 2022-06-04T19:53:56Z, 1596889, 0.014448
QBXq3gAAfgABrKkOmzNgSPQj4AIjWroEJweMRw==,QBXq3gAAfgABrKkOmzMjSPRZ4AIjWroEJweMRw==,QBXq3gAAfgABrKkOmzNgSPRZ4AIrWroEIweMRw==,QBXq3gAAfgABrKkOmzNgSPRZ4AIrWiMEJweMRw==,,,0.825397, 2022-06-04T19:54:08Z, 1609551, 0.014474
QBXq3gAAfwABUzGS0bLcNdovGcp96EJ1muuFaA==,QBXq3gAAfwABUzGS0bLcNdovGcp96EJ1muuFaA==,QBXq3gAAfwABUzGS0bLcNdovGcp96EJ1muuFaA==,QBXq3gAAfwABUzGS0bLcNdovGcp96EJ1muuFaA==,,,0.826772, 2022-06-04T19:54:21Z, 1622223, 0.014499
QBXq3gAAgAABtBGJPCz/A571gm/1oNFUF/RvDA==,QBXq3gAAgAABtBGJPCz1A55Jgm/1oNFUF/RvDA==,QBXq3gAAgAABtBGJPCz/A55Jgm+QoNFU8fRvDA==,QBXq3gAAgAABtBGJPCz/A55Jgm+QoPVUF/RvDA==,,,0.828125, 2022-06-04T19:54:34Z, 1634893, 0.014523
QBXq3gAAgQABak/zr9XSz6SOhA6pXkvkhx1G6A==,QBXq3gAAgQABak/zr9XSz6SOhA6pXkvkhx1G6A==,QBXq3gAAgQABak/zr9XSz6SOhA6pXkvkhx1G6A==,QBXq3gAAgQABak/zr9XSz6SOhA6pXkvkhx1G6A==,,,0.829457, 2022-06-04T19:54:46Z, 1647568, 0.014548
QBXq3gAAggABYjldiH2nJ3So/pyoZfuH+abfrg==,QBXq3gAAggABYjldiH2oJ3Re/pyoZfuH+abfrg==,QBXq3gAAggABYjldiH2nJ3Re/pxDZfuHqKbfrg==,QBXq3gAAggABYjldiH2nJ3Re/pxDZaiH+abfrg==,,,0.830769, 2022-06-04T19:54:59Z, 1660235, 0.014571
QBXq3gAAgwABN0ThkFWUM+CX1yyS5NMp3sga1w==,QBXq3gAAgwABN0ThkFWUM+CX1yyS5NMp3sga1w==,QBXq3gAAgwABN0ThkFWUM+CX1yyS5NMp3sga1w==,QBXq3gAAgwABN0ThkFWUM+CX1yyS5NMp3sga1w==,,,0.832061, 2022-06-04T19:55:12Z, 1672911, 0.014595
QBXq3gAAhAABQ1MGQhfc5E0SUhASSk2sLZlHVQ==,QBXq3gAAhAABQ1MGQhcS5E31UhASSk2sLZlHVQ==,QBXq3gAAhAABQ1MGQhfc5E31UhB9Sk2sEplHVQ==,QBXq3gAAhAABQ1MGQhfc5E31UhB9ShKsLZlHVQ==,,,0.833333, 2022-06-04T19:55:24Z, 1685801, 0.014616
QBXq3gAAhQABDZPqZu5usxLaSHraZSWQohposw==,QBXq3gAAhQABDZPqZu7asxLgSHraZSWQohposw==,QBXq3gAAhQABDZPqZu5usxLgSHq3ZSWQ2hposw==,QBXq3gAAhQABDZPqZu5usxLgSHq3ZdqQohposw==,,,0.827068, 2022-06-04T19:55:37Z, 1698465, 0.014507
QBXq3gAAhgABp2r1aSf5u8xdXWvnsMWakMxOzQ==,QBXq3gAAhgABp2r1aSf5u8xdXWvnsMWakMxOzQ==,QBXq3gAAhgABp2r1aSf5u8xdXWvnsMWakMxOzQ==,QBXq3gAAhgABp2r1aSf5u8xdXWvnsMWakMxOzQ==,,,0.828358, 2022-06-04T19:55:50Z, 1710924, 0.014532
QBXq3gAAhwABBcviL8gYNX2kOD+kOxJr7PzZWA==,QBXq3gAAhwABBcviL8ikNX1wOD+kOxJr7PzZWA==,QBXq3gAAhwABBcviL8gYNX1wOD+iOxJrpPzZWA==,QBXq3gAAhwABBcviL8gYNX1wOD+iO6Rr7PzZWA==,,,0.829630, 2022-06-04T19:56:02Z, 1723815, 0.014554
QBXq3gAAiAAB1xiOuyG7u6W+SkC+V5P1jTbGyw==,QBXq3gAAiAAB1xiOuyG+u6UmSkC+V5P1jTbGyw==,QBXq3gAAiAAB1xiOuyG7u6UmSkBKV5P1vjbGyw==,QBXq3gAAiAAB1xiOuyG7u6UmSkBKV771jTbGyw==,,,0.823529, 2022-06-04T19:56:15Z, 1736482, 0.014448
QBXq3gAAiQABogPXvIAMmMI44uukYh9beSDDJg==,QBXq3gAAiQABogPXvIAMmMI44uukYh9beSDDJg==,QBXq3gAAiQABogPXvIAMmMI44uukYh9beSDDJg==,QBXq3gAAiQABogPXvIAMmMI44uukYh9beSDDJg==,,,0.824818, 2022-06-04T19:56:28Z, 1748948, 0.014473
QBXq3gAAigABxNAMH05JpUjPsSbPy8Iczh8kIg==,QBXq3gAAigABxNAMH07PpUjdsSbPy8Iczh8kIg==,QBXq3gAAigABxNAMH05JpUjdsSbby8Iczx8kIg==,QBXq3gAAigABxNAMH05JpUjdsSbby88czh8kIg==,,,0.826087, 2022-06-04T19:56:40Z, 1761627, 0.014496
QBXq3gAAiwABIl+/0nhBpkaXRx+RSpWwnD3c4A==,QBXq3gAAiwABIl+/0nhBpkaXRx+RSpWwnD3c4A==,QBXq3gAAiwABIl+/0nhBpkaXRx+RSpWwnD3c4A==,QBXq3gAAiwABIl+/0nhBpkaXRx+RSpWwnD3c4A==,,,0.827338, 2022-06-04T19:56:53Z, 1774280, 0.014519
QBXq3gAAjAABuapTiA98bqKvwhmvHKJhuAp3Rg==,QBXq3gAAjAABuapTiA+vbqLuwhmvHKJhuAp3Rg==,QBXq3gAAjAABuapTiA98bqLuwhnnHKJhrwp3Rg==,QBXq3gAAjAABuapTiA98bqLuwhnnHK9huAp3Rg==,,,0.821429, 2022-06-04T19:57:06Z, 1787173, 0.014414
QBXq3gAAjQABz9Nna8FAdO7ORF09a19rlivsWQ==,QBXq3gAAjQABz9Nna8FAdO7ORF09a19rlivsWQ==,QBXq3gAAjQABz9Nna8FAdO7ORF09a19rlivsWQ==,QBXq3gAAjQABz9Nna8FAdO7ORF09a19rlivsWQ==,,,0.822695, 2022-06-04T19:57:18Z, 1799625, 0.014439
QBXq3gAAjgABaAVa2Ux5XaUbdq7tXS5UsXg3Bw==,QBXq3gAAjgABaAVa2Ux5XaUbdq7tXS5UsXg3Bw==,QBXq3gAAjgABaAVa2Ux5XaUbdq7tXS5UsXg3Bw==,QBXq3gAAjgABaAVa2Ux5XaUbdq7tXS5UsXg3Bw==,,,0.823944, 2022-06-04T19:57:31Z, 1812360, 0.014461
