Data1,Data2,Data3,Data4,Data5,Data6,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,,,0.844828, 2022-06-04T19:39:34Z, 735186, 0.014930
QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,,,0.847458, 2022-06-04T19:39:47Z, 747848, 0.014976
QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,,,0.850000, 2022-06-04T19:39:59Z, 760522, 0.015021
QBXq3gAAPAABa/AJcKjNWYAdbRodDiAJvhdYKA==,QBXq3gAAPAABa/AJcKgdWYAKbRodDiAJvhdYKA==,QBXq3gAAPAABa/AJcKjNWYAKbRoUDiAJHRdYKA==,QBXq3gAAPAABa/AJcKjNWYAKbRoUDh0JvhdYKA==,,,0.852459, 2022-06-04T19:40:12Z, 773421, 0.015060
QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,,,0.854839, 2022-06-04T19:40:25Z, 785872, 0.015107
QBXq3gAAPgAB9Rk7r6uEV6+/FnOFLNsup323dw==,QBXq3gAAPgAB9Rk7r6uEV6+/FnOFLNsup323dw==,QBXq3gAAPgAB9Rk7r6uEV6+/FnOFLNsup323dw==,QBXq3gAAPgAB9Rk7r6uEV6+/FnOFLNsup323dw==,,,0.857143, 2022-06-04T19:40:37Z, 798541, 0.015148
QBXq3gAAPwABBAAyiwY4fJUWYn8WKsO9UhDrWg==,QBXq3gAAPwABBAAyiwYWfJUuYn8WKsO9UhDrWg==,QBXq3gAAPwABBAAyiwY4fJUuYn9SKsO9FhDrWg==,QBXq3gAAPwABBAAyiwY4fJUuYn9SKha9UhDrWg==,,,0.859375, 2022-06-04T19:40:50Z, 811432, 0.015183
QBXq3gAAQAAB6ftS3Yz+tbjLq8DLfm/KkSvfEA==,QBXq3gAAQAAB6ftS3YzLtbh0q8DLfm/KkSvfEA==,QBXq3gAAQAAB6ftS3Yz+tbh0q8CVfm/KyyvfEA==,QBXq3gAAQAAB6ftS3Yz+tbh0q8CVfsvKkSvfEA==,,,0.861538, 2022-06-04T19:41:03Z, 824102, 0.015221
QBXq3gAAQQABvVZa3gi61nr04jL0l9+UhXaxrA==,QBXq3gAAQQABvVZa3gj01npn4jL0l9+UhXaxrA==,QBXq3gAAQQABvVZa3gi61npn4jLkl9+U9HaxrA==,QBXq3gAAQQABvVZa3gi61npn4jLkl/SUhXaxrA==,,,0.863636, 2022-06-04T19:41:15Z, 836774, 0.015259
QBXq3gAAQgABc6JxGzmDkse8O9e8yvbJjBtdSg==,QBXq3gAAQgABc6JxGzm8ksfCO9e8yvbJjBtdSg==,QBXq3gAAQgABc6JxGzmDksfCO9cIyvbJvBtdSg==,QBXq3gAAQgABc6JxGzmDksfCO9cIyrzJjBtdSg==,,,0.865672, 2022-06-04T19:41:28Z, 849444, 0.015295
