TotalTime(ms),Throughput(kbp),PDR,time
15537,0.014417,1.000000,2022-06-08T10:12:54Z
28206,0.015883,1.000000,2022-06-08T10:13:07Z
40879,0.016439,1.000000,2022-06-08T10:13:19Z
53552,0.016732,1.000000,2022-06-08T10:13:32Z
78903,0.014195,0.833333,2022-06-08T10:13:57Z
91564,0.014678,0.857143,2022-06-08T10:14:10Z
116908,0.013412,0.777778,2022-06-08T10:14:36Z
129578,0.013829,0.800000,2022-06-08T10:14:48Z
142250,0.014172,0.818182,2022-06-08T10:15:01Z
180392,0.012417,0.714286,2022-06-08T10:15:39Z
205608,0.011984,0.687500,2022-06-08T10:16:04Z
230950,0.011639,0.666667,2022-06-08T10:16:30Z
256294,0.011362,0.650000,2022-06-08T10:16:55Z
307038,0.010214,0.583333,2022-06-08T10:17:46Z
332375,0.010109,0.576923,2022-06-08T10:18:11Z
357667,0.010020,0.571429,2022-06-08T10:18:36Z
370346,0.010282,0.586207,2022-06-08T10:18:49Z
383013,0.010527,0.600000,2022-06-08T10:19:02Z
395682,0.010756,0.612903,2022-06-08T10:19:14Z
408362,0.010971,0.625000,2022-06-08T10:19:27Z
433711,0.010846,0.617647,2022-06-08T10:19:52Z
446367,0.011040,0.628571,2022-06-08T10:20:05Z
471726,0.010922,0.621622,2022-06-08T10:20:30Z
484383,0.011099,0.631579,2022-06-08T10:20:43Z
497122,0.011265,0.641026,2022-06-08T10:20:56Z
522398,0.011149,0.634146,2022-06-08T10:21:21Z
535064,0.011303,0.642857,2022-06-08T10:21:34Z
560411,0.011192,0.636364,2022-06-08T10:21:59Z
585768,0.011090,0.630435,2022-06-08T10:22:24Z
598424,0.011229,0.638298,2022-06-08T10:22:37Z
611102,0.011363,0.645833,2022-06-08T10:22:50Z
623803,0.011491,0.653061,2022-06-08T10:23:02Z
636445,0.011615,0.660000,2022-06-08T10:23:15Z
649115,0.011733,0.666667,2022-06-08T10:23:28Z
661790,0.011847,0.673077,2022-06-08T10:23:40Z
687124,0.011736,0.666667,2022-06-08T10:24:06Z
712685,0.011629,0.660714,2022-06-08T10:24:31Z
725365,0.011735,0.666667,2022-06-08T10:24:44Z
737816,0.011840,0.672414,2022-06-08T10:24:56Z
750486,0.011939,0.677966,2022-06-08T10:25:09Z
763158,0.012034,0.683333,2022-06-08T10:25:22Z
775831,0.012126,0.688525,2022-06-08T10:25:34Z
788499,0.012216,0.693548,2022-06-08T10:25:47Z
801172,0.012302,0.698413,2022-06-08T10:26:00Z
864527,0.011660,0.661765,2022-06-08T10:27:03Z
889897,0.011579,0.657143,2022-06-08T10:27:28Z
915219,0.011503,0.652778,2022-06-08T10:27:54Z
927890,0.011588,0.657534,2022-06-08T10:28:06Z
940610,0.011669,0.662162,2022-06-08T10:28:19Z
953939,0.011741,0.666667,2022-06-08T10:28:33Z
965977,0.011826,0.671053,2022-06-08T10:28:45Z
991468,0.011748,0.666667,2022-06-08T10:29:10Z
1016596,0.011678,0.662500,2022-06-08T10:29:35Z
1042015,0.011608,0.658537,2022-06-08T10:30:01Z
1054655,0.011682,0.662651,2022-06-08T10:30:13Z
1067731,0.011748,0.666667,2022-06-08T10:30:26Z
1092694,0.011685,0.662791,2022-06-08T10:30:51Z
1105424,0.011753,0.666667,2022-06-08T10:31:04Z
1117990,0.011821,0.670455,2022-06-08T10:31:17Z
1143422,0.011754,0.666667,2022-06-08T10:31:42Z
1156263,0.011817,0.670330,2022-06-08T10:31:55Z
1194145,0.011630,0.659574,2022-06-08T10:32:33Z
1206818,0.011694,0.663158,2022-06-08T10:32:45Z
1219670,0.011754,0.666667,2022-06-08T10:32:58Z
1244679,0.011698,0.663265,2022-06-08T10:33:23Z
1295803,0.011409,0.647059,2022-06-08T10:34:14Z
1320745,0.011363,0.644231,2022-06-08T10:34:39Z
1358732,0.011210,0.635514,2022-06-08T10:35:17Z
1371399,0.011270,0.638889,2022-06-08T10:35:30Z
1384284,0.011327,0.642202,2022-06-08T10:35:43Z
1396823,0.011386,0.645455,2022-06-08T10:35:55Z
1422086,0.011341,0.642857,2022-06-08T10:36:21Z
1434759,0.011397,0.646018,2022-06-08T10:36:33Z
1447428,0.011452,0.649123,2022-06-08T10:36:46Z
1460134,0.011506,0.652174,2022-06-08T10:36:59Z
1472799,0.011559,0.655172,2022-06-08T10:37:11Z
1485522,0.011611,0.658120,2022-06-08T10:37:24Z
1498329,0.011661,0.661017,2022-06-08T10:37:37Z
1510782,0.011713,0.663866,2022-06-08T10:37:49Z
1536214,0.011665,0.661157,2022-06-08T10:38:15Z
1549018,0.011713,0.663934,2022-06-08T10:38:28Z
1561475,0.011763,0.666667,2022-06-08T10:38:40Z
1574143,0.011811,0.669355,2022-06-08T10:38:53Z
1599485,0.011764,0.666667,2022-06-08T10:39:18Z
1612395,0.011809,0.669291,2022-06-08T10:39:31Z
1624831,0.011856,0.671875,2022-06-08T10:39:43Z
1650174,0.011810,0.669231,2022-06-08T10:40:09Z
1675515,0.011765,0.666667,2022-06-08T10:40:34Z
1700906,0.011721,0.664179,2022-06-08T10:40:59Z
1713533,0.011765,0.666667,2022-06-08T10:41:12Z
1726204,0.011809,0.669118,2022-06-08T10:41:25Z
1739118,0.011850,0.671533,2022-06-08T10:41:38Z
1751544,0.011894,0.673913,2022-06-08T10:41:50Z
1776898,0.011850,0.671429,2022-06-08T10:42:15Z
1789792,0.011890,0.673759,2022-06-08T10:42:28Z
1802235,0.011932,0.676056,2022-06-08T10:42:41Z
