Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,0.666667, 2022-04-12T19:03:21Z, 229445, 0.011715
QBXq3gAAEgABj88jQzaTdZGn1u6nnHBra/lFmg==,QBXq3gAAEgABj88jQzandZGE1u6nnHBra/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u6nnHBrp/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnKdra/lFmg==,0.631579, 2022-04-12T19:03:34Z, 242341, 0.011092
QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,0.650000, 2022-04-12T19:03:46Z, 254796, 0.011429
QBXq3gAAFAABW8ygIUNCROkWq5UWFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUMWROnsq5UWFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5UWFsTkFjJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFhbkbTJxwQ==,0.619048, 2022-04-12T19:03:59Z, 267675, 0.010879
QBXq3gAAFQAB7v3thZFtPjcimGgiZJxpHq4WmA==,QBXq3gAAFQAB7v3thZEiPjfnmGgiZJxpHq4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGgiZJxpIq4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZCJpHq4WmA==,0.590909, 2022-04-12T19:04:12Z, 280435, 0.010384
QBXq3gAAFgABPf91rNkW5shYDIJYooamoBEFXQ==,QBXq3gAAFgABPf91rNlY5sguDIJYooamoBEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIJYooamWBEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9olimoBEFXQ==,0.565217, 2022-04-12T19:04:24Z, 293017, 0.009938
QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,0.583333, 2022-04-12T19:04:37Z, 305472, 0.010266
QBXq3gAAGAAB0m9KjfscKZt4J1h4aAclYVKt8w==,QBXq3gAAGAAB0m9Kjft4KZvmJ1h4aAclYVKt8w==,QBXq3gAAGAAB0m9KjfscKZvmJ1h4aAcleFKt8w==,QBXq3gAAGAAB0m9KjfscKZvmJ1iKaHglYVKt8w==,0.560000, 2022-04-12T19:04:50Z, 318374, 0.009850
QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,0.576923, 2022-04-12T19:05:02Z, 330860, 0.010155
QBXq3gAAGgABCHVadsZTcYF7PkN7wDsGmCTZRw==,QBXq3gAAGgABCHVadsZ7cYG9PkN7wDsGmCTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkN7wDsGeyTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwHsGmCTZRw==,0.555556, 2022-04-12T19:05:15Z, 343711, 0.009776
QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,0.571429, 2022-04-12T19:05:27Z, 356173, 0.010063
QBXq3gAAHAAB1OuDfwx4n3lkhkZkDXUAuzvbGQ==,QBXq3gAAHAAB1OuDfwxkn3m3hkZkDXUAuzvbGQ==,QBXq3gAAHAAB1OuDfwx4n3m3hkZkDXUAZDvbGQ==,QBXq3gAAHAAB1OuDfwx4n3m3hkboDWQAuzvbGQ==,0.551724, 2022-04-12T19:05:40Z, 369048, 0.009711
QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,0.566667, 2022-04-12T19:05:53Z, 381505, 0.009982
QBXq3gAAHgABwR7mAGpUxF1a6INaBwTedYNF4Q==,QBXq3gAAHgABwR7mAGpaxF3p6INaBwTedYNF4Q==,QBXq3gAAHgABwR7mAGpUxF3p6INaBwTeWoNF4Q==,QBXq3gAAHgABwR7mAGpUxF3p6INYB1redYNF4Q==,0.548387, 2022-04-12T19:06:06Z, 394393, 0.009655
QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,0.562500, 2022-04-12T19:06:18Z, 406873, 0.009910
QBXq3gAAIAABvB0V4fm87G+dfZSdzbZv1v0sag==,QBXq3gAAIAABvB0V4fmd7G/yfZSdzbZv1v0sag==,QBXq3gAAIAABvB0V4fm87G/yfZSdzbZvnf0sag==,QBXq3gAAIAABvB0V4fm87G/yfZTKzZ1v1v0sag==,0.545455, 2022-04-12T19:06:31Z, 419730, 0.009606
QBXq3gAAIQABbhsX+9OS2blRnbNRCfaFvfbGag==,QBXq3gAAIQABbhsX+9NR2blYnbNRCfaFvfbGag==,QBXq3gAAIQABbhsX+9OS2blYnbNRCfaFUfbGag==,QBXq3gAAIQABbhsX+9OS2blYnbO8CVGFvfbGag==,0.529412, 2022-04-12T19:06:44Z, 432419, 0.009324
QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,0.542857, 2022-04-12T19:06:56Z, 444856, 0.009567
QBXq3gAAIwABLpOVrpJOweYxJ3sxFvh4x6pqiQ==,QBXq3gAAIwABLpOVrpIxweZHJ3sxFvh4x6pqiQ==,QBXq3gAAIwABLpOVrpJOweZHJ3sxFvh4MapqiQ==,QBXq3gAAIwABLpOVrpJOweZHJ3sVFjF4x6pqiQ==,0.527778, 2022-04-12T19:07:09Z, 457747, 0.009298
QBXq3gAAJAABSf3J7XlmbszRdyHRLwCq+5vZnw==,QBXq3gAAJAABSf3J7XnRbsxPdyHRLwCq+5vZnw==,QBXq3gAAJAABSf3J7XlmbsxPdyHRLwCq0ZvZnw==,QBXq3gAAJAABSf3J7XlmbsxPdyGRL9Gq+5vZnw==,0.540541, 2022-04-12T19:07:21Z, 470210, 0.009528
QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,0.552632, 2022-04-12T19:07:34Z, 482873, 0.009742
QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,0.564103, 2022-04-12T19:07:47Z, 495541, 0.009945
QBXq3gAAKAABSS4eTr0LI4yno2mnf+2pyk9UCA==,QBXq3gAAKAABSS4eTr2nI4wIo2mnf+2pyk9UCA==,QBXq3gAAKAABSS4eTr0LI4wIo2mnf+2pp09UCA==,QBXq3gAAKAABSS4eTr0LI4wIo2k3f6epyk9UCA==,0.550000, 2022-04-12T19:08:12Z, 521114, 0.009457
QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,0.560976, 2022-04-12T19:08:28Z, 537160, 0.009591
QBXq3gAAKgABDXnOEVf9cC+yXniy/2a1UASi/Q==,QBXq3gAAKgABDXnOEVeEcC+qXniE/2a1UASi/Q==,QBXq3gAAKgABDXnOEVf9cC+qXniy/2a1sgSi/Q==,QBXq3gAAKgABDXnOEVf9cC+qXnh2/4S1UASi/Q==,0.547619, 2022-04-12T19:08:38Z, 546446, 0.009428
QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,0.558140, 2022-04-12T19:08:50Z, 558908, 0.009619
