TotalTime(ms),Throughput(kbp),data,time
2005595,0.007706,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:20:29Z
2028241,0.007731,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:20:51Z
2050909,0.007755,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:21:14Z
2073593,0.007778,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:21:37Z
2118811,0.007718,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:22:22Z
2141459,0.007741,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:22:44Z
2164099,0.007763,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:23:07Z
2186794,0.007785,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:23:30Z
2209397,0.007807,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:23:52Z
2232136,0.007827,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:24:15Z
2254688,0.007849,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:24:38Z
2277336,0.007869,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:25:00Z
2299976,0.007889,AWcAAAJoAAMCAAAEAgAA,2022-01-04T16:25:23Z
