TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
110961,5,3.000968,1.160428,2.942390,1.768370,3.616580,3.664627,0.000000,0.000000,1.160428,0.893973,32.000000,8.000000,3.000000,0.996822,1.000000,1.385939,9.000000,6.000000,0.551011,1.000000,2.105998,7.000000,0.000000,0.999669,1.000000,2.943363,9.000000,4.000000,0.993327,1.000000,1.780250,7.000000,1.000000,0.973054,1.000000,3.716730,7.000000,1.000000,0.985981,0.909091,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:26:44Z
116976,1,3.000968,1.248644,2.942390,1.768370,3.616580,3.664627,0.000000,0.000000,1.248644,0.899833,32.000000,8.000000,3.000000,0.996822,1.000000,1.501707,10.000000,7.000000,0.998173,0.833333,2.105998,7.000000,0.000000,0.999669,1.000000,2.943363,9.000000,4.000000,0.993327,1.000000,1.780250,7.000000,1.000000,0.973054,1.000000,3.716730,7.000000,1.000000,0.985981,0.909091,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:26:50Z
146149,0,2.925390,1.248644,2.942390,1.768370,3.616580,3.664627,0.000000,0.000000,1.248644,0.899726,32.000000,8.000000,3.000000,0.971718,1.000000,1.767452,10.000000,7.000000,0.998173,0.833333,1.761900,7.000000,0.000000,0.999669,1.000000,2.943363,9.000000,4.000000,0.993327,1.000000,1.780250,7.000000,1.000000,0.973054,1.000000,3.716730,7.000000,1.000000,0.985981,0.909091,2.514670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:27:20Z
148192,2,2.925390,1.248644,2.941597,1.768370,3.616580,3.664627,0.000000,0.000000,1.248644,0.899725,32.000000,8.000000,3.000000,0.971718,1.000000,1.767452,10.000000,7.000000,0.998173,0.833333,1.676309,7.000000,0.000000,0.999400,1.000000,2.943363,9.000000,4.000000,0.993327,1.000000,1.780250,7.000000,1.000000,0.973054,1.000000,3.716730,7.000000,1.000000,0.985981,0.909091,2.514670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:27:22Z
149161,3,2.925390,1.248644,2.941597,1.779546,3.616580,3.664627,0.000000,0.000000,1.248644,0.900232,32.000000,8.000000,3.000000,0.971718,1.000000,1.767452,10.000000,7.000000,0.998173,0.833333,1.676309,7.000000,0.000000,0.999400,1.000000,2.943363,9.000000,4.000000,0.999605,1.000000,1.780250,7.000000,1.000000,0.973054,1.000000,3.716730,7.000000,1.000000,0.985981,0.909091,2.514670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:27:23Z
150165,4,2.925390,1.248644,2.941597,1.779546,3.628493,3.664627,0.000000,0.000000,1.248644,0.899955,32.000000,8.000000,3.000000,0.971718,1.000000,1.767452,10.000000,7.000000,0.998173,0.833333,1.676309,7.000000,0.000000,0.999400,1.000000,2.943363,9.000000,4.000000,0.999605,1.000000,1.780250,7.000000,1.000000,0.976259,1.000000,3.716730,7.000000,1.000000,0.985981,0.909091,2.514670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:27:24Z
161213,5,2.925390,1.248644,2.941597,1.779546,3.628493,3.569384,0.000000,0.000000,1.248644,0.902204,32.000000,8.000000,3.000000,0.971718,1.000000,1.836385,10.000000,7.000000,0.998173,0.833333,1.615279,7.000000,0.000000,0.999400,1.000000,2.943363,9.000000,4.000000,0.999605,1.000000,1.780250,7.000000,1.000000,0.976259,1.000000,3.716730,7.000000,1.000000,0.960356,0.937500,2.688577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:27:35Z
167237,1,2.925390,3.596083,2.941597,1.779546,3.628493,3.569384,0.000000,0.000000,1.779546,0.957095,32.000000,8.000000,3.000000,0.971718,1.000000,1.898074,7.000000,1.000000,0.967540,0.882353,1.569563,7.000000,0.000000,0.999400,1.000000,2.943363,9.000000,4.000000,0.999605,1.000000,1.780250,7.000000,1.000000,0.976259,1.000000,3.716730,7.000000,1.000000,0.960356,0.937500,2.688577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:27:41Z
196378,0,2.971504,3.596083,2.941597,1.779546,3.628493,3.569384,0.000000,0.000000,1.779546,0.957491,32.000000,8.000000,3.000000,0.987035,1.000000,2.049545,7.000000,1.000000,0.967540,0.882353,1.736788,7.000000,0.000000,0.999400,1.000000,2.943363,9.000000,4.000000,0.999605,1.000000,1.780250,7.000000,1.000000,0.976259,1.000000,3.716730,7.000000,1.000000,0.960356,0.937500,2.871912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:28:10Z
198402,2,2.971504,3.596083,2.940455,1.779546,3.628493,3.569384,0.000000,0.000000,1.779546,0.957481,32.000000,8.000000,3.000000,0.987035,1.000000,2.049545,7.000000,1.000000,0.967540,0.882353,1.810998,7.000000,0.000000,0.999012,1.000000,2.943363,9.000000,4.000000,0.999605,1.000000,1.780250,7.000000,1.000000,0.976259,1.000000,3.716730,7.000000,1.000000,0.960356,0.937500,2.871912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:28:12Z
199418,3,2.971504,3.596083,2.940455,1.779779,3.628493,3.569384,0.000000,0.000000,1.779779,0.957491,32.000000,8.000000,3.000000,0.987035,1.000000,2.049545,7.000000,1.000000,0.967540,0.882353,1.810998,7.000000,0.000000,0.999012,1.000000,2.943363,9.000000,4.000000,0.999735,1.000000,1.780250,7.000000,1.000000,0.976259,1.000000,3.716730,7.000000,1.000000,0.960356,0.937500,2.871912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:28:13Z
210617,4,2.971504,3.596083,2.940455,1.779779,3.581577,3.569384,0.000000,0.000000,1.779779,0.958086,32.000000,8.000000,3.000000,0.987035,1.000000,2.091267,7.000000,1.000000,0.967540,0.882353,1.879847,7.000000,0.000000,0.999012,1.000000,2.943363,9.000000,4.000000,0.999735,1.000000,1.780250,7.000000,1.000000,0.963637,0.952381,3.716730,7.000000,1.000000,0.960356,0.937500,2.919309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:28:24Z
211479,5,2.971504,3.596083,2.940455,1.779779,3.581577,3.576522,0.000000,0.000000,1.779779,0.958002,32.000000,8.000000,3.000000,0.987035,1.000000,2.091267,7.000000,1.000000,0.967540,0.882353,1.879847,7.000000,0.000000,0.999012,1.000000,2.943363,9.000000,4.000000,0.999735,1.000000,1.780250,7.000000,1.000000,0.963637,0.952381,3.716730,7.000000,1.000000,0.962276,0.952381,2.961671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:28:25Z
217513,1,2.971504,3.626804,2.940455,1.779779,3.581577,3.576522,0.000000,0.000000,1.779779,0.957606,32.000000,8.000000,3.000000,0.987035,1.000000,2.129517,7.000000,1.000000,0.975805,0.909091,1.943894,7.000000,0.000000,0.999012,1.000000,2.943363,9.000000,4.000000,0.999735,1.000000,1.780250,7.000000,1.000000,0.963637,0.952381,3.716730,7.000000,1.000000,0.962276,0.952381,2.961671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:28:31Z
246649,0,2.984741,3.626804,2.940455,1.779779,3.581577,3.576522,0.000000,0.000000,1.779779,0.957707,32.000000,8.000000,3.000000,0.991432,1.000000,2.227288,7.000000,1.000000,0.975805,0.909091,2.059464,7.000000,0.000000,0.999012,1.000000,2.943363,9.000000,4.000000,0.999735,1.000000,1.780250,7.000000,1.000000,0.963637,0.952381,3.716730,7.000000,1.000000,0.962276,0.952381,3.065463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:29:00Z
248666,2,2.984741,3.626804,2.938416,1.779779,3.581577,3.576522,0.000000,0.000000,1.779779,0.957689,32.000000,8.000000,3.000000,0.991432,1.000000,2.227288,7.000000,1.000000,0.975805,0.909091,2.111776,7.000000,0.000000,0.998319,1.000000,2.943363,9.000000,4.000000,0.999735,1.000000,1.780250,7.000000,1.000000,0.963637,0.952381,3.716730,7.000000,1.000000,0.962276,0.952381,3.065463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:29:02Z
249681,3,2.984741,3.626804,2.938416,1.907164,3.581577,3.576522,0.000000,0.000000,1.907164,0.963326,32.000000,8.000000,3.000000,0.991432,1.000000,2.227288,7.000000,1.000000,0.975805,0.909091,2.111776,7.000000,0.000000,0.998319,1.000000,2.943363,7.000000,2.000000,0.483548,1.000000,1.780250,7.000000,1.000000,0.963637,0.952381,3.716730,7.000000,1.000000,0.962276,0.952381,3.065463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:29:03Z
260743,4,2.984741,3.626804,2.938416,1.907164,3.608788,3.576522,0.000000,0.000000,1.907164,0.963002,32.000000,8.000000,3.000000,0.991432,1.000000,2.255228,7.000000,1.000000,0.975805,0.909091,2.160888,7.000000,0.000000,0.998319,1.000000,2.943363,7.000000,2.000000,0.483548,1.000000,1.780250,7.000000,1.000000,0.970958,0.961538,3.716730,7.000000,1.000000,0.962276,0.952381,3.093997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:29:14Z
261757,5,2.984741,3.626804,2.938416,1.907164,3.608788,3.535407,0.000000,0.000000,1.907164,0.963442,32.000000,8.000000,3.000000,0.991432,1.000000,2.255228,7.000000,1.000000,0.975805,0.909091,2.160888,7.000000,0.000000,0.998319,1.000000,2.943363,7.000000,2.000000,0.483548,1.000000,1.780250,7.000000,1.000000,0.970958,0.961538,3.716730,7.000000,1.000000,0.951214,0.961538,3.120136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:29:15Z
267774,1,2.984741,3.569411,2.938416,1.907164,3.608788,3.535407,0.000000,0.000000,1.907164,0.964159,32.000000,8.000000,3.000000,0.991432,1.000000,2.281243,7.000000,1.000000,0.960363,0.925926,2.207082,7.000000,0.000000,0.998319,1.000000,2.943363,7.000000,2.000000,0.483548,1.000000,1.780250,7.000000,1.000000,0.970958,0.961538,3.716730,7.000000,1.000000,0.951214,0.961538,3.120136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:29:21Z
296936,0,2.928974,3.569411,2.938416,1.907164,3.608788,3.535407,0.000000,0.000000,1.907164,0.963715,32.000000,8.000000,3.000000,0.972908,1.000000,2.349543,7.000000,1.000000,0.960363,0.925926,2.291704,7.000000,0.000000,0.998319,1.000000,2.943363,7.000000,2.000000,0.483548,1.000000,1.917465,7.000000,1.000000,0.970958,0.961538,3.716730,7.000000,1.000000,0.951214,0.961538,3.186859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:29:50Z
298942,2,2.928974,3.569411,2.936327,1.907164,3.608788,3.535407,0.000000,0.000000,1.907164,0.963698,32.000000,8.000000,3.000000,0.972908,1.000000,2.349543,7.000000,1.000000,0.960363,0.925926,2.330554,7.000000,0.000000,0.997610,1.000000,2.943363,7.000000,2.000000,0.483548,1.000000,1.917465,7.000000,1.000000,0.970958,0.961538,3.716730,7.000000,1.000000,0.951214,0.961538,3.186859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:29:52Z
311007,4,2.928974,3.569411,2.936327,1.907164,3.559258,3.535407,0.000000,0.000000,1.907164,0.964333,32.000000,8.000000,3.000000,0.972908,1.000000,2.369553,7.000000,1.000000,0.960363,0.925926,2.367342,7.000000,0.000000,0.997610,1.000000,2.943363,7.000000,2.000000,0.483548,1.000000,1.959416,7.000000,1.000000,0.957632,0.967742,3.716730,7.000000,1.000000,0.951214,0.961538,3.205902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:30:04Z
312017,5,2.928974,3.569411,2.936327,1.907164,3.559258,3.587576,0.000000,0.000000,1.907164,0.963703,32.000000,8.000000,3.000000,0.972908,1.000000,2.369553,7.000000,1.000000,0.960363,0.925926,2.367342,7.000000,0.000000,0.997610,1.000000,2.943363,7.000000,2.000000,0.483548,1.000000,1.959416,7.000000,1.000000,0.957632,0.967742,3.716730,7.000000,1.000000,0.965251,0.967742,3.223624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:30:05Z
318043,1,2.928974,3.562507,2.936327,1.907164,3.559258,3.587576,0.000000,0.000000,1.907164,0.963786,32.000000,8.000000,3.000000,0.972908,1.000000,2.388387,7.000000,1.000000,0.958506,0.937500,2.402228,7.000000,0.000000,0.997610,1.000000,2.943363,7.000000,2.000000,0.483548,1.000000,1.959416,7.000000,1.000000,0.957632,0.967742,3.716730,7.000000,1.000000,0.965251,0.967742,3.223624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:30:11Z
330127,3,2.928974,3.562507,2.936327,2.970984,3.559258,3.587576,0.000000,0.000000,2.928974,0.990877,32.000000,8.000000,3.000000,0.972908,1.000000,2.406146,7.000000,1.000000,0.958506,0.937500,2.435355,7.000000,0.000000,0.997610,1.000000,2.943363,8.000000,3.000000,0.986863,0.909091,1.999665,7.000000,1.000000,0.957632,0.967742,3.716730,7.000000,1.000000,0.965251,0.967742,3.240158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:30:24Z
347188,0,2.896472,3.562507,2.936327,2.970984,3.559258,3.587576,0.000000,0.000000,2.896472,0.990503,32.000000,8.000000,3.000000,0.962112,1.000000,2.438786,7.000000,1.000000,0.958506,0.937500,2.466854,7.000000,0.000000,0.997610,1.000000,2.943363,8.000000,3.000000,0.986863,0.909091,2.025828,7.000000,1.000000,0.957632,0.967742,3.716730,7.000000,1.000000,0.965251,0.967742,3.270109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:30:41Z
349202,2,2.896472,3.562507,3.577155,2.970984,3.559258,3.587576,0.000000,0.000000,2.896472,0.992001,32.000000,8.000000,3.000000,0.962112,1.000000,2.438786,7.000000,1.000000,0.958506,0.937500,2.496842,7.000000,1.000000,0.962447,1.000000,2.943363,8.000000,3.000000,0.986863,0.909091,2.025828,7.000000,1.000000,0.957632,0.967742,3.716730,7.000000,1.000000,0.965251,0.967742,3.270109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:30:43Z
361311,4,2.896472,3.562507,3.577155,2.970984,3.606282,3.587576,0.000000,0.000000,2.896472,0.991739,32.000000,8.000000,3.000000,0.962112,1.000000,2.453819,7.000000,1.000000,0.958506,0.937500,2.525424,7.000000,1.000000,0.962447,1.000000,2.963253,8.000000,3.000000,0.986863,0.909091,2.074290,7.000000,1.000000,0.970284,0.972222,3.716730,7.000000,1.000000,0.965251,0.967742,3.283715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:30:55Z
362309,5,2.896472,3.562507,3.577155,2.970984,3.606282,3.543188,0.000000,0.000000,2.896472,0.991964,32.000000,8.000000,3.000000,0.962112,1.000000,2.453819,7.000000,1.000000,0.958506,0.937500,2.525424,7.000000,1.000000,0.962447,1.000000,2.963253,8.000000,3.000000,0.986863,0.909091,2.074290,7.000000,1.000000,0.970284,0.972222,3.716730,7.000000,1.000000,0.953308,0.972222,3.296517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:30:56Z
368384,1,2.896472,3.566578,3.577155,2.970984,3.606282,3.543188,0.000000,0.000000,2.896472,0.991943,32.000000,8.000000,3.000000,0.962112,1.000000,2.468082,7.000000,1.000000,0.959601,0.945946,2.552697,7.000000,1.000000,0.962447,1.000000,2.963253,8.000000,3.000000,0.986863,0.909091,2.074290,7.000000,1.000000,0.970284,0.972222,3.716730,7.000000,1.000000,0.953308,0.972222,3.296517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:31:02Z
380390,3,2.896472,3.566578,3.577155,2.918477,3.606282,3.543188,0.000000,0.000000,2.896472,0.991271,32.000000,8.000000,3.000000,0.962112,1.000000,2.481632,7.000000,1.000000,0.959601,0.945946,2.578750,7.000000,1.000000,0.962447,1.000000,3.000113,8.000000,3.000000,0.969421,0.921053,2.118206,7.000000,1.000000,0.970284,0.972222,3.716730,7.000000,1.000000,0.953308,0.972222,3.308584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:31:14Z
397461,0,2.867982,3.566578,3.577155,2.918477,3.606282,3.543188,0.000000,0.000000,2.867982,0.990858,32.000000,8.000000,3.000000,0.952648,1.000000,2.506798,7.000000,1.000000,0.959601,0.945946,2.603662,7.000000,1.000000,0.962447,1.000000,3.017224,8.000000,3.000000,0.969421,0.921053,2.138655,7.000000,1.000000,0.970284,0.972222,3.716730,7.000000,1.000000,0.953308,0.972222,3.330751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:31:31Z
399480,2,2.867982,3.566578,3.526657,2.918477,3.606282,3.543188,0.000000,0.000000,2.867982,0.991123,32.000000,8.000000,3.000000,0.952648,1.000000,2.506798,7.000000,1.000000,0.959601,0.945946,2.627507,7.000000,1.000000,0.948860,1.000000,3.033536,8.000000,3.000000,0.969421,0.921053,2.138655,7.000000,1.000000,0.970284,0.972222,3.716730,7.000000,1.000000,0.953308,0.972222,3.330751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:31:33Z
411544,4,2.867982,3.566578,3.526657,2.918477,3.562346,3.543188,0.000000,0.000000,2.867982,0.991408,32.000000,8.000000,3.000000,0.952648,1.000000,2.518504,7.000000,1.000000,0.959601,0.945946,2.650351,7.000000,1.000000,0.948860,1.000000,3.049105,8.000000,3.000000,0.969421,0.921053,2.176863,7.000000,1.000000,0.958462,0.975610,3.716730,7.000000,1.000000,0.953308,0.972222,3.340956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:31:45Z
412553,5,2.867982,3.566578,3.526657,2.918477,3.562346,3.587023,0.000000,0.000000,2.867982,0.991149,32.000000,8.000000,3.000000,0.952648,1.000000,2.518504,7.000000,1.000000,0.959601,0.945946,2.650351,7.000000,1.000000,0.948860,1.000000,3.049105,8.000000,3.000000,0.969421,0.921053,2.176863,7.000000,1.000000,0.958462,0.975610,3.716730,7.000000,1.000000,0.965102,0.975610,3.350634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:31:46Z
418573,1,2.867982,3.575689,3.526657,2.918477,3.562346,3.587023,0.000000,0.000000,2.867982,0.991094,32.000000,8.000000,3.000000,0.952648,1.000000,2.529678,7.000000,1.000000,0.962052,0.952381,2.672257,7.000000,1.000000,0.948860,1.000000,3.049105,8.000000,3.000000,0.969421,0.921053,2.176863,7.000000,1.000000,0.958462,0.975610,3.716730,7.000000,1.000000,0.965102,0.975610,3.350634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:31:52Z
430659,3,2.867982,3.575689,3.526657,3.024708,3.562346,3.587023,0.000000,0.000000,2.867982,0.992352,32.000000,8.000000,3.000000,0.952648,1.000000,2.529678,7.000000,1.000000,0.962052,0.952381,2.693281,7.000000,1.000000,0.948860,1.000000,3.078206,7.000000,2.000000,0.766893,0.930233,2.211864,7.000000,1.000000,0.958462,0.975610,3.716730,7.000000,1.000000,0.965102,0.975610,3.359827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:32:04Z
