Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-06-01T10:29:44Z, 13322, 0.016814
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-06-01T10:29:57Z, 25995, 0.017234
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-06-01T10:30:22Z, 51336, 0.013090
QBXq3gAABAABsgROlhZJHbPnpEjnWWsTsuPXdA==,QBXq3gAABAABsgROlhbnHbMipEjnWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsT5+PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWecTsuPXdA==,1.000000, 2022-06-01T10:30:35Z, 64260, 0.013943
QBXq3gAABQABE/I4jZO9THyhHEKhebips0vGGQ==,QBXq3gAABQABE/I4jZOhTHyFHEKhebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipoUvGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKneVOps0vGGQ==,1.000000, 2022-06-01T10:30:48Z, 76901, 0.014564
QBXq3gAABgABVMNJJTl9QPq/b76/eSSSBfr7Wg==,QBXq3gAABgABVMNJJTm/QPqKb76/eSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSv/r7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74Geb+SBfr7Wg==,1.000000, 2022-06-01T10:31:00Z, 89577, 0.015004
QBXq3gAABwAB5OQ9879HguzA2PHA9KkBAKGMUg==,QBXq3gAABwAB5OQ987/Aguzm2PHA9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBwKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9MABAKGMUg==,1.000000, 2022-06-01T10:31:13Z, 102240, 0.015336
QBXq3gAACAABtnEGYBSOZlR1zkN1XEJY0/5Czg==,QBXq3gAACAABtnEGYBR1ZlRdzkN1XEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJYdf5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXHVY0/5Czg==,0.875000, 2022-06-01T10:31:26Z, 114912, 0.013645
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.888889, 2022-06-01T10:31:38Z, 127409, 0.014065
QBXq3gAACgAB4J5MGLcM8IYda9EdYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcd8IZxa9EdYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4HRIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYB14zhIZKg==,0.900000, 2022-06-01T10:31:51Z, 140296, 0.014370
QBXq3gAACwABeiMIbZ4A4j9198J1NMwB/n6ucg==,QBXq3gAACwABeiMIbZ514j9r98J1NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwBdX6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NHUB/n6ucg==,0.909091, 2022-06-01T10:32:04Z, 152929, 0.014647
QBXq3gAADAABPKsQO4Q7vVlBTGZBU8OQcmtdZA==,QBXq3gAADAABPKsQO4RBvVkXTGZBU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQQWtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU0GQcmtdZA==,0.916667, 2022-06-01T10:32:16Z, 165605, 0.014879
QBXq3gAADQAB5bM7t6M2OWu2ffW23B2UDcVbbw==,QBXq3gAADQAB5bM7t6O2OWuZffW23B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UtsVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3LaUDcVbbw==,0.923077, 2022-06-01T10:32:29Z, 178277, 0.015078
QBXq3gAADgABme9SPmYig5POLaLOC385ivmH7g==,QBXq3gAADgABme9SPmbOg5MJLaLOC385ivmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC385zvmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC845ivmH7g==,0.928571, 2022-06-01T10:32:42Z, 190727, 0.015268
QBXq3gAADwABlTZyzE3lFJTkdZTkU6Vm85mKEw==,QBXq3gAADwABlTZyzE3kFJR/dZTkU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6Vm5JmKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU+Rm85mKEw==,0.933333, 2022-06-01T10:32:54Z, 203618, 0.015401
QBXq3gAAEAABlNIBRlELWCLdodHdRVqZcw1G7g==,QBXq3gAAEAABlNIBRlHdWCKOodHdRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZ3Q1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRd2Zcw1G7g==,0.937500, 2022-06-01T10:33:07Z, 216095, 0.015549
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,0.941176, 2022-06-01T10:33:20Z, 228739, 0.015669
QBXq3gAAEgABj88jQzaTdZFO1u5OnHBra/lFmg==,QBXq3gAAEgABj88jQzZOdZGE1u5OnHBra/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnHBrTvlFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnE5ra/lFmg==,0.944444, 2022-06-01T10:33:32Z, 241420, 0.015773
