TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,time
757726,1,0.567168,0.492486,0.616805,0.490388,0.000000,0.000000,0.000000,0.000000,0.490388,0.990428,48.000000,9.000000,0.000000,0.652649,0.746269,11648.000000,18.254848,16146.824192,0.652017,10.000000,1.000000,0.816354,0.789474,13440.000000,16.153600,16447.738880,0.749039,9.000000,0.000000,0.709767,0.808824,13216.000000,15.927296,16189.978624,0.747129,10.000000,1.000000,0.812876,0.733333,12320.000000,14.095360,14591.206400,0.767586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:09:49Z
758738,2,0.567168,0.492486,0.495458,0.490388,0.000000,0.000000,0.000000,0.000000,0.490388,0.996035,48.000000,9.000000,0.000000,0.652649,0.746269,11648.000000,18.254848,16146.824192,0.652017,10.000000,1.000000,0.816354,0.789474,13440.000000,16.153600,16447.738880,0.749039,10.000000,1.000000,0.821281,0.789474,13440.000000,16.153600,16447.738880,0.749039,10.000000,1.000000,0.812876,0.733333,12320.000000,14.095360,14591.206400,0.767586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:09:50Z
799905,3,0.567168,0.492486,0.495458,0.555189,0.000000,0.000000,0.000000,0.000000,0.492486,0.995892,48.000000,9.000000,0.000000,0.652649,0.746269,11872.000000,18.481152,16404.584448,0.655427,10.000000,1.000000,0.816354,0.789474,14112.000000,17.388544,17561.658368,0.739793,10.000000,1.000000,0.821281,0.789474,14336.000000,17.800192,17932.964864,0.736967,9.000000,0.000000,0.638864,0.750000,13440.000000,16.153600,16447.738880,0.749039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:10:31Z
808940,2,0.567168,0.492486,0.523876,0.555189,0.000000,0.000000,0.000000,0.000000,0.492486,0.997059,48.000000,9.000000,0.000000,0.652649,0.746269,12096.000000,18.707456,16662.344704,0.658731,10.000000,1.000000,0.816354,0.789474,14336.000000,17.800192,17932.964864,0.736967,9.000000,0.000000,0.602832,0.802469,14560.000000,18.211840,18304.271360,0.734255,9.000000,0.000000,0.638864,0.750000,13440.000000,16.153600,16447.738880,0.749039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:10:40Z
817966,1,0.567168,0.542793,0.523876,0.555189,0.000000,0.000000,0.000000,0.000000,0.523876,0.999144,48.000000,9.000000,0.000000,0.652649,0.746269,12096.000000,18.707456,16662.344704,0.658731,9.000000,0.000000,0.624601,0.792683,14560.000000,18.211840,18304.271360,0.734255,9.000000,0.000000,0.602832,0.802469,14560.000000,18.211840,18304.271360,0.734255,9.000000,0.000000,0.638864,0.750000,13664.000000,16.379904,16705.499136,0.750890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:10:49Z
827011,0,0.512219,0.542793,0.523876,0.555189,0.000000,0.000000,0.000000,0.000000,0.512219,0.999033,48.000000,9.000000,0.000000,0.589419,0.662651,12320.000000,18.933760,16920.104960,0.661934,9.000000,0.000000,0.624601,0.792683,14560.000000,18.211840,18304.271360,0.734255,9.000000,0.000000,0.602832,0.802469,14784.000000,18.438144,18562.031616,0.736126,9.000000,0.000000,0.638864,0.750000,13664.000000,16.379904,16705.499136,0.750890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:10:58Z
860196,3,0.512219,0.542793,0.523876,0.593379,0.000000,0.000000,0.000000,0.000000,0.512219,0.996746,48.000000,9.000000,0.000000,0.589419,0.662651,12320.000000,18.933760,16920.104960,0.661934,9.000000,0.000000,0.624601,0.792683,15232.000000,18.890752,19077.552128,0.739718,9.000000,0.000000,0.602832,0.802469,15456.000000,19.117056,19335.312384,0.741441,10.000000,1.000000,0.983596,0.755814,14560.000000,17.285120,17736.540160,0.757758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:11:32Z
878251,1,0.512219,0.520550,0.523876,0.593379,0.000000,0.000000,0.000000,0.000000,0.512219,0.996349,48.000000,9.000000,0.000000,0.589419,0.662651,12320.000000,18.933760,16920.104960,0.661934,9.000000,0.000000,0.599005,0.795455,15680.000000,19.343360,19593.072640,0.743120,9.000000,0.000000,0.602832,0.802469,15456.000000,19.117056,19335.312384,0.741441,10.000000,1.000000,0.983596,0.755814,14784.000000,17.696768,18107.846656,0.754590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:11:50Z
899341,2,0.512219,0.520550,0.498281,0.593379,0.000000,0.000000,0.000000,0.000000,0.498281,0.995216,48.000000,9.000000,0.000000,0.589419,0.662651,12544.000000,19.160064,17177.865216,0.665042,9.000000,0.000000,0.599005,0.795455,15904.000000,19.569664,19850.832896,0.744755,10.000000,1.000000,0.825959,0.777778,15680.000000,19.343360,19593.072640,0.743120,10.000000,1.000000,0.983596,0.755814,15232.000000,18.520064,18850.459648,0.748629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:12:11Z
910414,3,0.512219,0.520550,0.498281,0.542793,0.000000,0.000000,0.000000,0.000000,0.498281,0.999031,48.000000,9.000000,0.000000,0.589419,0.662651,12768.000000,19.386368,17435.625472,0.668057,9.000000,0.000000,0.599005,0.795455,16128.000000,19.795968,20108.593152,0.746348,10.000000,1.000000,0.825959,0.777778,15904.000000,19.755008,19964.379136,0.740519,9.000000,0.000000,0.624601,0.769231,15680.000000,19.343360,19593.072640,0.743120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:12:22Z
