TotalTime(ms),Throughput(kbp),PDR,time
10305,0.021736,1.000000,2022-05-26T12:46:39Z
22957,0.019514,1.000000,2022-05-26T12:46:52Z
35779,0.018782,1.000000,2022-05-26T12:47:05Z
48303,0.018550,1.000000,2022-05-26T12:47:17Z
61127,0.018322,1.000000,2022-05-26T12:47:30Z
73659,0.018246,1.000000,2022-05-26T12:47:43Z
86330,0.018163,1.000000,2022-05-26T12:47:55Z
98986,0.018104,1.000000,2022-05-26T12:48:08Z
111875,0.018020,1.000000,2022-05-26T12:48:21Z
124328,0.018017,1.000000,2022-05-26T12:48:33Z
137156,0.017965,1.000000,2022-05-26T12:48:46Z
149682,0.017958,1.000000,2022-05-26T12:48:59Z
162492,0.017921,1.000000,2022-05-26T12:49:11Z
175015,0.017918,1.000000,2022-05-26T12:49:24Z
200366,0.016769,0.937500,2022-05-26T12:49:49Z
213034,0.016824,0.941176,2022-05-26T12:50:02Z
225722,0.016870,0.944444,2022-05-26T12:50:15Z
241957,0.016664,0.947368,2022-05-26T12:50:31Z
251060,0.016952,0.950000,2022-05-26T12:50:40Z
263756,0.016985,0.952381,2022-05-26T12:50:53Z
276386,0.017020,0.954545,2022-05-26T12:51:05Z
289054,0.017049,0.956522,2022-05-26T12:51:18Z
301791,0.017071,0.958333,2022-05-26T12:51:31Z
314451,0.017096,0.960000,2022-05-26T12:51:43Z
352421,0.015890,0.892857,2022-05-26T12:52:21Z
365117,0.015951,0.896552,2022-05-26T12:52:34Z
377762,0.016010,0.900000,2022-05-26T12:52:47Z
390480,0.016062,0.903226,2022-05-26T12:52:59Z
403094,0.016115,0.906250,2022-05-26T12:53:12Z
415812,0.016161,0.909091,2022-05-26T12:53:25Z
428444,0.016208,0.911765,2022-05-26T12:53:37Z
441103,0.016250,0.914286,2022-05-26T12:53:50Z
453779,0.016290,0.916667,2022-05-26T12:54:03Z
466461,0.016327,0.918919,2022-05-26T12:54:15Z
479124,0.016363,0.921053,2022-05-26T12:54:28Z
491801,0.016397,0.923077,2022-05-26T12:54:41Z
504478,0.016429,0.925000,2022-05-26T12:54:53Z
517136,0.016460,0.926829,2022-05-26T12:55:06Z
529810,0.016489,0.928571,2022-05-26T12:55:19Z
542484,0.016517,0.930233,2022-05-26T12:55:31Z
555150,0.016543,0.931818,2022-05-26T12:55:44Z
567824,0.016569,0.933333,2022-05-26T12:55:57Z
580506,0.016592,0.934783,2022-05-26T12:56:09Z
593181,0.016615,0.936170,2022-05-26T12:56:22Z
605848,0.016638,0.937500,2022-05-26T12:56:35Z
618512,0.016659,0.938776,2022-05-26T12:56:47Z
631202,0.016679,0.940000,2022-05-26T12:57:00Z
643862,0.016699,0.941176,2022-05-26T12:57:13Z
656529,0.016718,0.942308,2022-05-26T12:57:25Z
669307,0.016734,0.943396,2022-05-26T12:57:38Z
694539,0.016448,0.927273,2022-05-26T12:58:03Z
720094,0.016176,0.912281,2022-05-26T12:58:29Z
732552,0.016206,0.913793,2022-05-26T12:58:41Z
745229,0.016231,0.915254,2022-05-26T12:58:54Z
757896,0.016256,0.916667,2022-05-26T12:59:07Z
783235,0.016016,0.903226,2022-05-26T12:59:32Z
795911,0.016042,0.904762,2022-05-26T12:59:45Z
808815,0.016063,0.906250,2022-05-26T12:59:58Z
821475,0.016088,0.907692,2022-05-26T13:00:10Z
859270,0.015641,0.882353,2022-05-26T13:00:48Z
884637,0.015446,0.871429,2022-05-26T13:01:14Z
897347,0.015477,0.873239,2022-05-26T13:01:26Z
909953,0.015508,0.875000,2022-05-26T13:01:39Z
922847,0.015535,0.876712,2022-05-26T13:01:52Z
935299,0.015567,0.878378,2022-05-26T13:02:04Z
948001,0.015595,0.880000,2022-05-26T13:02:17Z
960857,0.015619,0.881579,2022-05-26T13:02:30Z
973540,0.015646,0.883117,2022-05-26T13:02:42Z
986195,0.015672,0.884615,2022-05-26T13:02:55Z
1011329,0.015504,0.875000,2022-05-26T13:03:20Z
1024224,0.015528,0.876543,2022-05-26T13:03:33Z
1036665,0.015558,0.878049,2022-05-26T13:03:46Z
1049338,0.015583,0.879518,2022-05-26T13:03:58Z
1062010,0.015608,0.880952,2022-05-26T13:04:11Z
1074899,0.015629,0.882353,2022-05-26T13:04:24Z
1087418,0.015655,0.883721,2022-05-26T13:04:36Z
1100026,0.015680,0.885057,2022-05-26T13:04:49Z
1112716,0.015702,0.886364,2022-05-26T13:05:02Z
1125593,0.015721,0.887640,2022-05-26T13:05:15Z
1138047,0.015746,0.888889,2022-05-26T13:05:27Z
1150931,0.015765,0.890110,2022-05-26T13:05:40Z
1163633,0.015785,0.891304,2022-05-26T13:05:53Z
1176278,0.015806,0.892473,2022-05-26T13:06:05Z
1188738,0.015829,0.893617,2022-05-26T13:06:18Z
1201401,0.015848,0.894737,2022-05-26T13:06:30Z
