TotalTime(ms),Throughput(kbp),PDR,data,time
14825,0.015110,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:33:41Z
27495,0.016294,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:33:54Z
40165,0.016731,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:34:07Z
52842,0.016956,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:34:19Z
65512,0.017096,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:34:32Z
78218,0.017183,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:34:45Z
90845,0.017260,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:34:57Z
116208,0.015421,0.888889,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:35:23Z
128865,0.015644,0.900000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:35:35Z
167103,0.013405,0.769231,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:36:14Z
179573,0.013721,0.785714,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:36:26Z
205115,0.013105,0.750000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:36:52Z
217719,0.013375,0.764706,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:37:04Z
230275,0.013619,0.777778,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:37:17Z
243165,0.013818,0.789474,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:37:30Z
255584,0.014023,0.800000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:37:42Z
268336,0.014191,0.809524,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:37:55Z
306297,0.013164,0.750000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:38:33Z
356960,0.011923,0.678571,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:39:24Z
382303,0.011718,0.666667,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:39:49Z
394977,0.011910,0.677419,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:40:02Z
407649,0.012089,0.687500,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:40:14Z
420324,0.012257,0.696970,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:40:27Z
445662,0.012063,0.685714,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:40:52Z
483762,0.011576,0.657895,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:41:30Z
496347,0.011734,0.666667,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:41:43Z
521908,0.011588,0.658537,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:42:08Z
534372,0.011737,0.666667,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:42:21Z
559713,0.011606,0.659091,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:42:46Z
597726,0.011243,0.638298,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:43:24Z
610400,0.011376,0.645833,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:43:37Z
661089,0.010843,0.615385,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:44:28Z
686432,0.010769,0.611111,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:44:53Z
724722,0.010509,0.596491,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:45:31Z
737121,0.010636,0.603448,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:45:44Z
749790,0.010755,0.610169,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:45:56Z
762466,0.010870,0.616667,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:46:09Z
787812,0.010805,0.612903,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:46:34Z
800478,0.010913,0.619048,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:46:47Z
863903,0.010372,0.588235,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:47:50Z
889188,0.010329,0.585714,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:48:16Z
914534,0.010287,0.583333,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:48:41Z
927206,0.010388,0.589041,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:48:54Z
939882,0.010486,0.594595,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:49:06Z
952541,0.010582,0.600000,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:49:19Z
990784,0.010400,0.589744,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:49:57Z
1015910,0.010363,0.587500,AWcAAAJoAAMCAAAEAgAA,2022-06-04T15:50:22Z
