Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAJAABSf3J7XlmbsxzdyFzLwCq+5vZnw==,QBXq3gAAJAABSf3J7XlzbsxPdyFzLwCq+5vZnw==,QBXq3gAAJAABSf3J7XlmbsxPdyGRLwCqc5vZnw==,QBXq3gAAJAABSf3J7XlmbsxPdyGRL3Oq+5vZnw==,0.540541, 2022-05-30T15:18:08Z, 470068, 0.009531
QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,0.552632, 2022-05-30T15:18:20Z, 482511, 0.009749
QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,0.564103, 2022-05-30T15:18:33Z, 495186, 0.009952
QBXq3gAAJwABFVGGQAXS2z6edRmej1khRMRl6w==,QBXq3gAAJwABFVGGQAWe2z61dRmej1khRMRl6w==,QBXq3gAAJwABFVGGQAXS2z61dRlDj1khnsRl6w==,QBXq3gAAJwABFVGGQAXS2z61dRlDj54hRMRl6w==,0.550000, 2022-05-30T15:18:46Z, 508071, 0.009699
QBXq3gAAKAABSS4eTr0LI4yUo2mUf+2pyk9UCA==,QBXq3gAAKAABSS4eTr2UI4wIo2mUf+2pyk9UCA==,QBXq3gAAKAABSS4eTr0LI4wIo2k3f+2plE9UCA==,QBXq3gAAKAABSS4eTr0LI4wIo2k3f5Spyk9UCA==,0.560976, 2022-05-30T15:18:59Z, 520747, 0.009893
QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,0.571429, 2022-05-30T15:19:11Z, 533194, 0.010083
QBXq3gAAKgABDXnOEVf9cC9iXnhi/2a1UASi/Q==,QBXq3gAAKgABDXnOEVdicC+qXnhi/2a1UASi/Q==,QBXq3gAAKgABDXnOEVf9cC+qXnh2/2a1YgSi/Q==,QBXq3gAAKgABDXnOEVf9cC+qXnh2/2K1UASi/Q==,0.581395, 2022-05-30T15:19:24Z, 546089, 0.010255
QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,0.590909, 2022-05-30T15:19:36Z, 558548, 0.010427
QBXq3gAALAABq2KqKOyVBWQ2ssM2TVK1xLmp+Q==,QBXq3gAALAABq2KqKOw2BWQ0ssM2TVK1xLmp+Q==,QBXq3gAALAABq2KqKOyVBWQ0ssNHTVK1Nrmp+Q==,QBXq3gAALAABq2KqKOyVBWQ0ssNHTTa1xLmp+Q==,0.600000, 2022-05-30T15:19:49Z, 571438, 0.010584
QBXq3gAALQABEOD5TbK2ym9XewdXhK4wlM4YVA==,QBXq3gAALQABEOD5TbJXym8gewdXhK4wlM4YVA==,QBXq3gAALQABEOD5TbK2ym8geweIhK4wV84YVA==,QBXq3gAALQABEOD5TbK2ym8geweIhFcwlM4YVA==,0.608696, 2022-05-30T15:20:02Z, 584160, 0.010737
QBXq3gAALgABezGozWdAYIYviwjX7yw0qNCZ2Q==,QBXq3gAALgABezGozWdAYIYviwjX7yw0qNCZ2Q==,QBXq3gAALgABezGozWdAYIYviwjX7yw0qNCZ2Q==,QBXq3gAALgABezGozWdAYIYviwjX7yw0qNCZ2Q==,0.617021, 2022-05-30T15:20:14Z, 596580, 0.010889
QBXq3gAALwABwXy/RoVv8huFn5+It+uXrL5pow==,QBXq3gAALwABwXy/RoVv8huFn5+It+uXrL5pow==,QBXq3gAALwABwXy/RoVv8huFn5+It+uXrL5pow==,QBXq3gAALwABwXy/RoVv8huFn5+It+uXrL5pow==,0.625000, 2022-05-30T15:20:27Z, 609233, 0.011030
QBXq3gAAMAABteoR4mOfSSyBiMiBwgWkMoJXWA==,QBXq3gAAMAABteoR4mOBSSwziMiBwgWkMoJXWA==,QBXq3gAAMAABteoR4mOfSSwziMiHwgWkgYJXWA==,QBXq3gAAMAABteoR4mOfSSwziMiHwoGkMoJXWA==,0.632653, 2022-05-30T15:20:40Z, 621910, 0.011166
QBXq3gAAMQABUB8zHXjvmHktf2wtZF4n1DTvKQ==,QBXq3gAAMQABUB8zHXgtmHk6f2wtZF4n1DTvKQ==,QBXq3gAAMQABUB8zHXjvmHk6f2w6ZF4nLTTvKQ==,QBXq3gAAMQABUB8zHXjvmHk6f2w6ZC0n1DTvKQ==,0.640000, 2022-05-30T15:20:53Z, 634796, 0.011292
QBXq3gAAMgABNdE5hH/uNZRvLq5vsdx16pVDOg==,QBXq3gAAMgABNdE5hH9vNZRFLq5vsdx16pVDOg==,QBXq3gAAMgABNdE5hH/uNZRFLq5Qsdx1b5VDOg==,QBXq3gAAMgABNdE5hH/uNZRFLq5QsW916pVDOg==,0.647059, 2022-05-30T15:21:05Z, 647464, 0.011417
QBXq3gAAMwABiYGD/rg1IQBTMc3wsfOL1mXiNA==,QBXq3gAAMwABiYGD/rg1IQBTMc3wsfOL1mXiNA==,QBXq3gAAMwABiYGD/rg1IQBTMc3wsfOL1mXiNA==,QBXq3gAAMwABiYGD/rg1IQBTMc3wsfOL1mXiNA==,0.653846, 2022-05-30T15:21:18Z, 659997, 0.011539
QBXq3gAANAABr0WED9NHCTdVxDBVSnR6Iwnvrg==,QBXq3gAANAABr0WED9NVCTdHxDBVSnR6Iwnvrg==,QBXq3gAANAABr0WED9NHCTdHxDBsSnR6VQnvrg==,QBXq3gAANAABr0WED9NHCTdHxDBsSlV6Iwnvrg==,0.660377, 2022-05-30T15:21:30Z, 672682, 0.011655
QBXq3gAANQAB+l1E96kYoul6D0DtUegVMGLRDw==,QBXq3gAANQAB+l1E96kYoul6D0DtUegVMGLRDw==,QBXq3gAANQAB+l1E96kYoul6D0DtUegVMGLRDw==,QBXq3gAANQAB+l1E96kYoul6D0DtUegVMGLRDw==,0.666667, 2022-05-30T15:21:43Z, 685262, 0.011768
QBXq3gAANgABjKV4KFS0+Nh3JYl3TuwD0Riy7Q==,QBXq3gAANgABjKV4KFR3+NjGJYl3TuwD0Riy7Q==,QBXq3gAANgABjKV4KFS0+NjGJYmrTuwDdxiy7Q==,QBXq3gAANgABjKV4KFS0+NjGJYmrTncD0Riy7Q==,0.672727, 2022-05-30T15:21:56Z, 698243, 0.011870
QBXq3gAANwABr2SI8I3lD5qMHMeME9ElM1sNMQ==,QBXq3gAANwABr2SI8I2MD5qRHMeME9ElM1sNMQ==,QBXq3gAANwABr2SI8I3lD5qRHMe/E9EljFsNMQ==,QBXq3gAANwABr2SI8I3lD5qRHMe/E4wlM1sNMQ==,0.678571, 2022-05-30T15:22:09Z, 710833, 0.011975
QBXq3gAAOAABAEbJcrsPbI00amg08422630vWg==,QBXq3gAAOAABAEbJcrs0bI3bamg08422630vWg==,QBXq3gAAOAABAEbJcrsPbI3bami/8422NH0vWg==,QBXq3gAAOAABAEbJcrsPbI3bami/8zS2630vWg==,0.684211, 2022-05-30T15:22:21Z, 723499, 0.012075
QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,0.689655, 2022-05-30T15:22:34Z, 735950, 0.012175
QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,0.694915, 2022-05-30T15:22:46Z, 748623, 0.012268
QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,0.700000, 2022-05-30T15:22:59Z, 761292, 0.012358
QBXq3gAAPAABa/AJcKjNWYCobRqoDiAJvhdYKA==,QBXq3gAAPAABa/AJcKioWYAKbRqoDiAJvhdYKA==,QBXq3gAAPAABa/AJcKjNWYAKbRoUDiAJqBdYKA==,QBXq3gAAPAABa/AJcKjNWYAKbRoUDqgJvhdYKA==,0.704918, 2022-05-30T15:23:12Z, 774134, 0.012442
QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,0.709677, 2022-05-30T15:23:24Z, 786635, 0.012529
