TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
217412,3,0.505935,0.600524,0.547741,0.586173,0.000000,0.000000,0.000000,0.000000,0.505935,0.995715,48.000000,9.000000,0.000000,0.582188,0.882353,0.649081,9.000000,0.000000,0.691032,0.882353,0.869025,9.000000,0.000000,0.630294,0.882353,4256.000000,4.094976,4176.374784,0.750890,10.000000,1.000000,0.971652,0.681818,0.869025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:00:49Z
226442,2,0.505935,0.600524,0.597157,0.586173,0.000000,0.000000,0.000000,0.000000,0.505935,0.995435,48.000000,9.000000,0.000000,0.582188,0.882353,0.661031,9.000000,0.000000,0.691032,0.882353,0.869025,10.000000,1.000000,0.989858,0.869565,4480.000000,4.321280,4434.135040,0.757758,10.000000,1.000000,0.971652,0.681818,0.869025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:00:58Z
235500,1,0.505935,0.495981,0.597157,0.586173,0.000000,0.000000,0.000000,0.000000,0.495981,0.993065,48.000000,9.000000,0.000000,0.582188,0.882353,0.661031,10.000000,1.000000,0.822148,0.833333,0.869025,10.000000,1.000000,0.989858,0.869565,4480.000000,4.321280,4434.135040,0.757758,10.000000,1.000000,0.971652,0.681818,0.835563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:01:07Z
244533,0,0.494728,0.495981,0.597157,0.586173,0.000000,0.000000,0.000000,0.000000,0.494728,0.992160,48.000000,9.000000,0.000000,0.569291,0.800000,0.671749,10.000000,1.000000,0.822148,0.833333,0.869025,10.000000,1.000000,0.989858,0.869565,4704.000000,4.732928,4805.441536,0.745821,10.000000,1.000000,0.971652,0.681818,0.809586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:01:16Z
267693,3,0.494728,0.495981,0.597157,0.542890,0.000000,0.000000,0.000000,0.000000,0.494728,0.993828,48.000000,9.000000,0.000000,0.569291,0.800000,0.681417,10.000000,1.000000,0.822148,0.833333,0.826207,10.000000,1.000000,0.989858,0.869565,5376.000000,5.967872,5919.361024,0.718997,9.000000,0.000000,0.624712,0.740741,0.757758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:01:39Z
276678,2,0.494728,0.495981,0.523876,0.542890,0.000000,0.000000,0.000000,0.000000,0.494728,0.998464,48.000000,9.000000,0.000000,0.569291,0.800000,0.681417,10.000000,1.000000,0.822148,0.833333,0.826207,9.000000,0.000000,0.602832,0.892857,5600.000000,6.379520,6290.667520,0.712166,9.000000,0.000000,0.624712,0.740741,0.757758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:01:48Z
305824,1,0.494728,0.487176,0.523876,0.542890,0.000000,0.000000,0.000000,0.000000,0.487176,0.998088,48.000000,9.000000,0.000000,0.569291,0.800000,0.690182,10.000000,1.000000,0.807552,0.806452,0.782815,9.000000,0.000000,0.602832,0.892857,5824.000000,6.605824,6548.427776,0.718340,9.000000,0.000000,0.624712,0.740741,0.774280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:02:17Z
345003,0,0.496482,0.487176,0.523876,0.542890,0.000000,0.000000,0.000000,0.000000,0.487176,0.998147,48.000000,10.000000,1.000000,0.822978,0.714286,0.712166,10.000000,1.000000,0.807552,0.806452,0.762194,9.000000,0.000000,0.602832,0.892857,6496.000000,7.284736,7321.708544,0.734255,9.000000,0.000000,0.624712,0.740741,0.778749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:02:56Z
347018,2,0.496482,0.487176,0.532461,0.542890,0.000000,0.000000,0.000000,0.000000,0.487176,0.997929,48.000000,10.000000,1.000000,0.822978,0.714286,0.712166,10.000000,1.000000,0.807552,0.806452,0.762194,9.000000,0.000000,0.612712,0.857143,6720.000000,7.511040,7579.468800,0.738838,9.000000,0.000000,0.624712,0.740741,0.778749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:02:58Z
358043,3,0.496482,0.487176,0.532461,0.562085,0.000000,0.000000,0.000000,0.000000,0.487176,0.996717,48.000000,10.000000,1.000000,0.822978,0.714286,0.706097,10.000000,1.000000,0.807552,0.806452,0.753563,9.000000,0.000000,0.612712,0.857143,6720.000000,7.511040,7579.468800,0.738838,9.000000,0.000000,0.646800,0.694444,0.782815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:03:09Z
