TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,ExisTP1,IncreGain1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,ExisTP2,IncreGain2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,ExisTP3,IncreGain3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,ExisTP4,IncreGain4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,ExisTP5,IncreGain5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,ExisTP6,IncreGain6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,ExisTP7,IncreGain7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,ExisTP8,IncreGain8,time
177782,2,2.380632,2.440900,1.023228,2.367890,0.000000,0.000000,0.000000,0.000000,1.023228,0.922459,32.000000,8.000000,3.000000,0.790767,1.000000,4032.000000,2.098176,1201.382400,2.237422,3.000000,-3.700000,8.000000,3.000000,0.810786,1.000000,4032.000000,1.480704,1075.731456,2.498765,3.000000,-3.700000,9.000000,6.000000,0.485864,1.000000,4032.000000,2.715648,1276.354560,2.105998,6.000000,-7.300000,8.000000,3.000000,0.786535,1.000000,3808.000000,1.357312,818.459136,3.010535,3.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:35:27Z
178784,3,2.380632,2.440900,1.023228,2.317806,0.000000,0.000000,0.000000,0.000000,1.023228,0.923093,32.000000,8.000000,3.000000,0.790767,1.000000,4032.000000,2.098176,1201.382400,2.237422,3.000000,-3.700000,8.000000,3.000000,0.810786,1.000000,4032.000000,1.480704,1075.731456,2.498765,3.000000,-3.700000,9.000000,6.000000,0.485864,1.000000,4032.000000,2.715648,1276.354560,2.105998,6.000000,-7.300000,8.000000,3.000000,0.769898,1.000000,4032.000000,1.480704,892.864512,3.010535,3.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:35:28Z
236025,0,3.017744,2.440900,1.023228,2.317806,0.000000,0.000000,0.000000,0.000000,1.023228,0.901070,32.000000,7.000000,1.000000,0.811935,1.000000,5376.000000,2.838528,1647.814656,2.446877,3.000000,-3.700000,8.000000,3.000000,0.810786,1.000000,5152.000000,2.097664,1447.758336,2.630273,3.000000,-3.700000,9.000000,6.000000,0.485864,1.000000,5152.000000,3.847168,1808.168960,2.105998,6.000000,-7.300000,8.000000,3.000000,0.769898,1.000000,5152.000000,2.097664,1264.891392,3.010535,3.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:36:25Z
237028,1,3.017744,2.454406,1.023228,2.317806,0.000000,0.000000,0.000000,0.000000,1.023228,0.901065,32.000000,7.000000,1.000000,0.811935,1.000000,5376.000000,2.838528,1647.814656,2.446877,3.000000,-3.700000,8.000000,3.000000,0.815272,1.000000,5376.000000,2.221056,1522.163712,2.648861,3.000000,-3.700000,9.000000,6.000000,0.485864,1.000000,5152.000000,3.847168,1808.168960,2.105998,6.000000,-7.300000,8.000000,3.000000,0.769898,1.000000,5152.000000,2.097664,1264.891392,3.010535,3.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:36:26Z
238027,2,3.017744,2.454406,1.088308,2.317806,0.000000,0.000000,0.000000,0.000000,1.088308,0.908628,32.000000,7.000000,1.000000,0.811935,1.000000,5376.000000,2.838528,1647.814656,2.446877,3.000000,-3.700000,8.000000,3.000000,0.815272,1.000000,5376.000000,2.221056,1522.163712,2.648861,3.000000,-3.700000,10.000000,5.000000,1.000000,1.000000,5376.000000,4.073472,1914.531840,2.105998,6.000000,-7.300000,8.000000,3.000000,0.769898,1.000000,5152.000000,2.097664,1264.891392,3.010535,3.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:36:27Z
239038,3,3.017744,2.454406,1.088308,3.251518,0.000000,0.000000,0.000000,0.000000,1.088308,0.895158,32.000000,7.000000,1.000000,0.811935,1.000000,5376.000000,2.838528,1647.814656,2.446877,3.000000,-3.700000,8.000000,3.000000,0.815272,1.000000,5376.000000,2.221056,1522.163712,2.648861,3.000000,-3.700000,10.000000,5.000000,1.000000,1.000000,5376.000000,4.073472,1914.531840,2.105998,6.000000,-7.300000,7.000000,1.000000,0.874833,1.000000,5376.000000,2.221056,1339.296768,3.010535,3.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:36:28Z
296254,0,2.409862,2.454406,1.088308,3.251518,0.000000,0.000000,0.000000,0.000000,1.088308,0.897852,32.000000,7.000000,1.000000,0.648382,1.000000,6720.000000,3.239424,2009.422848,2.675395,1.000000,-1.200000,8.000000,3.000000,0.815272,1.000000,6496.000000,2.838016,1894.190592,2.719895,3.000000,-3.700000,10.000000,5.000000,1.000000,1.000000,6496.000000,6.131712,2943.651840,1.750207,6.000000,-6.100000,7.000000,1.000000,0.874833,1.000000,6496.000000,2.555136,1640.636928,3.140244,3.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:37:26Z
297256,1,2.409862,2.983316,1.088308,3.251518,0.000000,0.000000,0.000000,0.000000,1.088308,0.894895,32.000000,7.000000,1.000000,0.648382,1.000000,6720.000000,3.239424,2009.422848,2.675395,1.000000,-1.200000,7.000000,1.000000,0.802672,1.000000,6720.000000,2.961408,1968.595968,2.730880,3.000000,-3.700000,10.000000,5.000000,1.000000,1.000000,6496.000000,6.131712,2943.651840,1.750207,6.000000,-6.100000,7.000000,1.000000,0.874833,1.000000,6496.000000,2.555136,1640.636928,3.140244,3.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:37:27Z
298267,2,2.409862,2.983316,1.081127,3.251518,0.000000,0.000000,0.000000,0.000000,1.081127,0.894101,32.000000,7.000000,1.000000,0.648382,1.000000,6720.000000,3.239424,2009.422848,2.675395,1.000000,-1.200000,7.000000,1.000000,0.802672,1.000000,6720.000000,2.961408,1968.595968,2.730880,3.000000,-3.700000,10.000000,5.000000,0.993401,1.000000,6720.000000,6.543360,3149.475840,1.706951,5.000000,-6.100000,7.000000,1.000000,0.874833,1.000000,6496.000000,2.555136,1640.636928,3.140244,3.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:37:28Z
299271,3,2.409862,2.983316,1.081127,3.163149,0.000000,0.000000,0.000000,0.000000,1.081127,0.897155,32.000000,7.000000,1.000000,0.648382,1.000000,6720.000000,3.239424,2009.422848,2.675395,1.000000,-1.200000,7.000000,1.000000,0.802672,1.000000,6720.000000,2.961408,1968.595968,2.730880,3.000000,-3.700000,10.000000,5.000000,0.993401,1.000000,6720.000000,6.543360,3149.475840,1.706951,5.000000,-6.100000,7.000000,1.000000,0.851057,1.000000,6720.000000,2.621952,1700.904960,3.160670,1.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:37:29Z
