TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
299127,3,1.954477,2.375003,2.973469,1.582988,0.000000,0.000000,0.000000,0.000000,1.582988,0.948673,32.000000,7.000000,2.000000,0.495544,1.000000,1.825392,8.000000,3.000000,0.788897,1.000000,2.102444,7.000000,1.000000,0.800023,1.000000,0.971378,8.000000,0.000000,0.993208,1.000000,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:51:56Z
357350,1,1.954477,2.454659,2.973469,1.582988,0.000000,0.000000,0.000000,0.000000,1.582988,0.948226,32.000000,7.000000,2.000000,0.495544,1.000000,1.962930,8.000000,3.000000,0.815356,0.833333,2.237422,7.000000,1.000000,0.800023,1.000000,1.107751,8.000000,0.000000,0.993208,1.000000,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:52:54Z
399547,3,1.954477,2.454659,2.973469,2.732898,0.000000,0.000000,0.000000,0.000000,1.954477,0.978026,32.000000,7.000000,2.000000,0.495544,1.000000,2.004892,8.000000,3.000000,0.815356,0.833333,2.290905,7.000000,1.000000,0.800023,1.000000,1.231217,7.000000,1.000000,0.735296,1.000000,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:53:36Z
438713,2,1.954477,2.454659,2.794870,2.732898,0.000000,0.000000,0.000000,0.000000,1.954477,0.982494,32.000000,7.000000,2.000000,0.495544,1.000000,2.083700,8.000000,3.000000,0.815356,0.833333,2.358559,7.000000,1.000000,0.751970,0.909091,1.288669,7.000000,1.000000,0.735296,1.000000,1.652816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:54:15Z
496929,0,2.823337,2.454659,2.794870,2.732898,0.000000,0.000000,0.000000,0.000000,2.454659,0.997080,32.000000,7.000000,1.000000,0.759629,0.800000,2.223544,8.000000,3.000000,0.815356,0.833333,2.414586,7.000000,1.000000,0.751970,0.909091,1.395957,7.000000,1.000000,0.735296,1.000000,1.786907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:55:13Z
507981,1,2.823337,2.487214,2.794870,2.732898,0.000000,0.000000,0.000000,0.000000,2.487214,0.997615,32.000000,7.000000,1.000000,0.759629,0.800000,2.252738,8.000000,3.000000,0.826170,0.784314,2.446877,7.000000,1.000000,0.751970,0.909091,1.421314,7.000000,1.000000,0.735296,1.000000,1.811662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:55:24Z
520061,3,2.823337,2.487214,2.794870,2.790165,0.000000,0.000000,0.000000,0.000000,2.487214,0.997468,32.000000,7.000000,1.000000,0.759629,0.800000,2.280813,8.000000,3.000000,0.826170,0.784314,2.461745,7.000000,1.000000,0.751970,0.909091,1.446122,7.000000,0.000000,0.947951,0.961538,1.859313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:55:37Z
599336,2,2.823337,2.487214,2.773550,2.790165,0.000000,0.000000,0.000000,0.000000,2.487214,0.997549,32.000000,7.000000,1.000000,0.759629,0.800000,2.428983,8.000000,3.000000,0.826170,0.784314,2.547282,7.000000,0.000000,0.942307,0.833333,1.540216,7.000000,0.000000,0.947951,0.961538,1.967222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:56:56Z
618409,1,2.823337,2.595591,2.773550,2.790165,0.000000,0.000000,0.000000,0.000000,2.595591,0.998963,32.000000,7.000000,1.000000,0.759629,0.800000,2.450755,8.000000,3.000000,0.862169,0.806452,2.567033,7.000000,0.000000,0.942307,0.833333,1.558335,7.000000,0.000000,0.947951,0.961538,1.994217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:57:15Z
620428,3,2.823337,2.595591,2.773550,2.803199,0.000000,0.000000,0.000000,0.000000,2.595591,0.998923,32.000000,7.000000,1.000000,0.759629,0.800000,2.450755,8.000000,3.000000,0.862169,0.806452,2.567033,7.000000,0.000000,0.942307,0.833333,1.558335,7.000000,0.000000,0.952380,0.967742,2.007162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:57:17Z
