TotalTime(ms),Throughput(kbp),PDR,time
1625252,0.015436,0.875000,2022-05-30T18:57:02Z
1637920,0.015454,0.875969,2022-05-30T18:57:15Z
1650589,0.015471,0.876923,2022-05-30T18:57:28Z
1663476,0.015486,0.877863,2022-05-30T18:57:41Z
1675950,0.015504,0.878788,2022-05-30T18:57:53Z
1688831,0.015518,0.879699,2022-05-30T18:58:06Z
1701498,0.015535,0.880597,2022-05-30T18:58:19Z
1713988,0.015552,0.881481,2022-05-30T18:58:31Z
1726835,0.015566,0.882353,2022-05-30T18:58:44Z
1739554,0.015581,0.883212,2022-05-30T18:58:57Z
1751956,0.015599,0.884058,2022-05-30T18:59:09Z
1764853,0.015611,0.884892,2022-05-30T18:59:22Z
1777313,0.015628,0.885714,2022-05-30T18:59:34Z
1790192,0.015641,0.886525,2022-05-30T18:59:47Z
1815330,0.015548,0.881119,2022-05-30T19:00:12Z
