Hamming_weight, Result
12.000000, 1
15.000000, 1
17.000000, 1
20.000000, 1
14.000000, 1
11.000000, 1
19.000000, 1
14.000000, 1
18.000000, 1
16.000000, 1
17.000000, 1
13.000000, 1
20.000000, 1
18.000000, 1
22.000000, 1
17.000000, 1
20.000000, 1
16.000000, 1
14.000000, 1
14.000000, 1
14.000000, 1
19.000000, 1
14.000000, 1
13.000000, 1
15.000000, 1
14.000000, 1
13.000000, 1
21.000000, 1
18.000000, 1
21.000000, 1
18.000000, 1
18.000000, 1
12.000000, 1
16.000000, 1
17.000000, 1
22.000000, 1
15.000000, 1
19.000000, 1
16.000000, 1
15.000000, 1
19.000000, 1
16.000000, 1
19.000000, 1
17.000000, 1
8.000000, 1
15.000000, 1
16.000000, 1
15.000000, 1
19.000000, 1
17.000000, 1
21.000000, 1
16.000000, 1
15.000000, 1
20.000000, 1
18.000000, 1
17.000000, 1
19.000000, 1
16.000000, 1
19.000000, 1
19.000000, 1
21.000000, 1
15.000000, 1
17.000000, 1
16.000000, 1
11.000000, 1
19.000000, 1
