TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,ExisTP1,IncreGain1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,ExisTP2,IncreGain2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,ExisTP3,IncreGain3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,ExisTP4,IncreGain4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,ExisTP5,IncreGain5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,ExisTP6,IncreGain6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,ExisTP7,IncreGain7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,ExisTP8,IncreGain8,time
299127,3,1.954477,2.375003,2.973469,1.582988,0.000000,0.000000,0.000000,0.000000,1.582988,0.948673,32.000000,7.000000,2.000000,0.495544,1.000000,6720.000000,2.467840,2454.266880,1.825392,2.000000,-2.500000,8.000000,3.000000,0.788897,1.000000,5824.000000,3.003392,1704.682496,2.102444,4.000000,-3.700000,7.000000,1.000000,0.800023,1.000000,6720.000000,5.350400,4612.003840,0.971378,1.000000,-1.200000,8.000000,0.000000,0.993208,1.000000,6720.000000,2.467840,2810.869760,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:51:56Z
357350,1,1.954477,2.454659,2.973469,1.582988,0.000000,0.000000,0.000000,0.000000,1.582988,0.948226,32.000000,7.000000,2.000000,0.495544,1.000000,7392.000000,2.668288,2624.647680,1.962930,2.000000,-2.500000,8.000000,3.000000,0.815356,0.833333,6720.000000,3.496960,2002.304000,2.237422,3.000000,-3.700000,7.000000,1.000000,0.800023,1.000000,7616.000000,5.617664,4853.075968,1.107751,1.000000,-1.200000,8.000000,0.000000,0.993208,1.000000,7840.000000,3.084800,3513.587200,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:52:54Z
399547,3,1.954477,2.454659,2.973469,2.732898,0.000000,0.000000,0.000000,0.000000,1.954477,0.978026,32.000000,7.000000,2.000000,0.495544,1.000000,7616.000000,2.735104,2681.441280,2.004892,2.000000,-2.500000,8.000000,3.000000,0.815356,0.833333,7168.000000,3.743744,2151.114752,2.290905,3.000000,-3.700000,7.000000,1.000000,0.800023,1.000000,8512.000000,5.884928,5094.148096,1.231217,1.000000,-1.200000,7.000000,1.000000,0.735296,1.000000,8960.000000,3.701760,4216.304640,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:53:36Z
438713,2,1.954477,2.454659,2.794870,2.732898,0.000000,0.000000,0.000000,0.000000,1.954477,0.982494,32.000000,7.000000,2.000000,0.495544,1.000000,8064.000000,2.868736,2795.028480,2.083700,2.000000,-2.500000,8.000000,3.000000,0.815356,0.833333,7840.000000,4.113920,2374.330880,2.358559,3.000000,-3.700000,7.000000,1.000000,0.751970,0.909091,8960.000000,6.018560,5214.684160,1.288669,1.000000,-1.200000,7.000000,1.000000,0.735296,1.000000,9408.000000,3.835392,4336.840704,1.652816,0.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:54:15Z
496929,0,2.823337,2.454659,2.794870,2.732898,0.000000,0.000000,0.000000,0.000000,2.454659,0.997080,32.000000,7.000000,1.000000,0.759629,0.800000,8960.000000,3.136000,3022.202880,2.223544,2.000000,-2.500000,8.000000,3.000000,0.815356,0.833333,8512.000000,4.484096,2597.547008,2.414586,3.000000,-3.700000,7.000000,1.000000,0.751970,0.909091,9856.000000,6.285824,5455.756288,1.395957,1.000000,-1.200000,7.000000,1.000000,0.735296,1.000000,10528.000000,4.169472,4638.180864,1.786907,0.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:55:13Z
507981,1,2.823337,2.487214,2.794870,2.732898,0.000000,0.000000,0.000000,0.000000,2.487214,0.997615,32.000000,7.000000,1.000000,0.759629,0.800000,9184.000000,3.202816,3082.470912,2.252738,2.000000,-1.200000,8.000000,3.000000,0.826170,0.784314,8960.000000,4.730880,2746.357760,2.446877,3.000000,-3.700000,7.000000,1.000000,0.751970,0.909091,10080.000000,6.352640,5516.024320,1.421314,1.000000,-1.200000,7.000000,1.000000,0.735296,1.000000,10752.000000,4.236288,4698.448896,1.811662,0.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:55:24Z
520061,3,2.823337,2.487214,2.794870,2.790165,0.000000,0.000000,0.000000,0.000000,2.487214,0.997468,32.000000,7.000000,1.000000,0.759629,0.800000,9408.000000,3.269632,3142.738944,2.280813,2.000000,-1.200000,8.000000,3.000000,0.826170,0.784314,9184.000000,4.854272,2820.763136,2.461745,3.000000,-3.700000,7.000000,1.000000,0.751970,0.909091,10304.000000,6.419456,5576.292352,1.446122,1.000000,-1.200000,7.000000,0.000000,0.947951,0.961538,11200.000000,4.369920,4818.984960,1.859313,1.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:55:37Z
599336,2,2.823337,2.487214,2.773550,2.790165,0.000000,0.000000,0.000000,0.000000,2.487214,0.997549,32.000000,7.000000,1.000000,0.759629,0.800000,10752.000000,3.670528,3504.347136,2.428983,2.000000,-1.200000,8.000000,3.000000,0.826170,0.784314,10752.000000,5.718016,3341.600768,2.547282,3.000000,-3.700000,7.000000,0.000000,0.942307,0.833333,11200.000000,6.686720,5817.364480,1.540216,1.000000,-1.200000,7.000000,0.000000,0.947951,0.961538,12768.000000,4.837632,5351.708928,1.967222,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:56:56Z
618409,1,2.823337,2.595591,2.773550,2.790165,0.000000,0.000000,0.000000,0.000000,2.595591,0.998963,32.000000,7.000000,1.000000,0.759629,0.800000,10976.000000,3.737344,3564.615168,2.450755,2.000000,-1.200000,8.000000,3.000000,0.862169,0.806452,11200.000000,5.964800,3490.411520,2.567033,3.000000,-3.700000,7.000000,0.000000,0.942307,0.833333,11424.000000,6.753536,5893.467904,1.558335,1.000000,0.000000,7.000000,0.000000,0.947951,0.961538,13216.000000,4.971264,5503.915776,1.994217,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:57:15Z
620428,3,2.823337,2.595591,2.773550,2.803199,0.000000,0.000000,0.000000,0.000000,2.595591,0.998923,32.000000,7.000000,1.000000,0.759629,0.800000,10976.000000,3.737344,3564.615168,2.450755,2.000000,-1.200000,8.000000,3.000000,0.862169,0.806452,11200.000000,5.964800,3490.411520,2.567033,3.000000,-3.700000,7.000000,0.000000,0.942307,0.833333,11424.000000,6.753536,5893.467904,1.558335,1.000000,0.000000,7.000000,0.000000,0.952380,0.967742,13440.000000,5.038080,5580.019200,2.007162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:57:17Z
