0.02,-0.039,5.018,65.786,0
0.04,-0.022,5.018,65.919,0
0.06,-0.008,5.018,65.946,0
0.08,-0.018,5.018,65.973,0
0.1,-0.018,5.018,65.892,0
0.12,-0.031,5.018,65.879,0
0.14,0,5.018,65.865,0
0.16,-0.006,5.018,65.879,0
0.18,-0.024,5.018,65.959,0
0.2,-0.015,5.018,65.959,0
0.22,-0.025,5.018,65.959,0
0.24,-0.014,5.018,65.986,0
0.26,-0.038,5.018,65.879,0
0.28,-0.053,5.018,65.852,0
0.3,-0.017,5.018,65.972,0
0.32,-0.029,5.018,65.796,0
0.34,-0.014,5.018,65.945,0
0.36,-0.032,5.018,66.012,0
0.38,-0.026,5.018,66.012,0
0.4,-0.025,5.018,65.972,0
0.42,-0.02,5.018,65.837,0
0.44,-0.03,5.018,65.985,0
0.46,0,5.018,65.985,0
0.48,-0.037,5.02,66.039,0
0.5,-0.026,5.018,65.999,0
0.52,-0.025,5.018,65.999,0
0.54,-0.019,5.018,66.106,0
0.56,-0.025,5.018,66.026,0
0.58,-0.026,5.018,66.039,0
0.6,-0.024,5.018,66.039,0
0.62,-0.01,5.018,66.052,0
0.64,-0.026,5.018,66.066,0
0.66,-0.012,5.018,65.972,0
0.68,-0.016,5.018,66.052,0
0.7,-0.041,5.018,65.999,0
0.72,-0.014,5.018,66.026,0
0.74,-0.013,5.018,66.133,0
0.76,-0.022,5.018,66.106,0
0.78,-0.016,5.018,66.012,0
0.8,-0.039,5.018,66.024,0
0.82,-0.043,5.018,66.065,0
0.84,-0.021,5.018,66.119,0
0.86,-0.018,5.018,66.092,0
0.88,-0.014,5.018,66.186,0
0.9,-0.01,5.018,66.105,0
0.92,-0.019,5.018,65.984,0
0.94,-0.013,5.018,66.024,0
0.96,-0.015,5.018,66.065,0
0.98,-0.02,5.018,66.078,0
1,-0.025,5.018,66.213,0
1.02,-0.016,5.018,66.119,0
1.04,-0.037,5.018,66.117,0
1.06,-0.027,5.018,66.131,0
1.08,-0.004,5.018,66.131,0
1.1,-0.014,5.018,66.239,0
1.12,0.008,5.018,66.198,0
1.14,-0.047,5.018,66.212,0
1.16,-0.033,5.018,66.171,0
1.18,0.003,5.018,66.104,0
1.2,-0.022,5.018,66.077,0
