TotalTime(ms),Throughout(kbp),data,time
13242,0.016915,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:06:15Z
35833,0.012503,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:06:37Z
58481,0.011491,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:07:00Z
81131,0.011044,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:07:22Z
103777,0.010792,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:07:45Z
126408,0.010632,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:08:08Z
149057,0.010519,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:08:30Z
171708,0.010436,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:08:53Z
216991,0.009291,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:09:38Z
239636,0.009348,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:10:01Z
262338,0.009392,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:10:24Z
284924,0.009434,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:10:46Z
307571,0.009468,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:11:09Z
330223,0.009497,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:11:32Z
352902,0.009521,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:11:54Z
375508,0.009544,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:12:17Z
398149,0.009564,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:12:39Z
420892,0.009580,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:13:02Z
443458,0.009597,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:13:25Z
466180,0.009610,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:13:47Z
488728,0.009625,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:14:10Z
511388,0.009637,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:14:33Z
534016,0.009648,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:14:55Z
556671,0.009657,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:15:18Z
579314,0.009667,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:15:41Z
601959,0.009675,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:16:03Z
624602,0.009683,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:16:26Z
647252,0.009690,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:16:49Z
669892,0.009697,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:17:11Z
692542,0.009703,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:17:34Z
715182,0.009709,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:17:56Z
737919,0.009714,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:18:19Z
760478,0.009720,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:18:42Z
783123,0.009725,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:19:04Z
805795,0.009730,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:19:27Z
828424,0.009734,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:19:50Z
851051,0.009739,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:20:12Z
873703,0.009742,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:20:35Z
896348,0.009746,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:20:58Z
919095,0.009749,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:21:20Z
941639,0.009753,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:21:43Z
964277,0.009757,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:22:06Z
986927,0.009760,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:22:28Z
1032219,0.009548,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:23:14Z
1054869,0.009556,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:23:36Z
1077509,0.009563,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:23:59Z
1100158,0.009570,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:24:21Z
1122899,0.009575,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:24:44Z
1145446,0.009582,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:25:07Z
1168093,0.009588,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:25:29Z
1190744,0.009594,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:25:52Z
1213382,0.009600,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:26:15Z
1236045,0.009605,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:26:37Z
1258681,0.009610,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:27:00Z
1281415,0.009614,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:27:23Z
1303968,0.009620,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:27:45Z
1326608,0.009625,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:28:08Z
1349255,0.009629,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:28:31Z
1371916,0.009633,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:28:53Z
1394553,0.009638,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:29:16Z
1417196,0.009642,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:29:39Z
1439937,0.009645,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:30:01Z
1462501,0.009649,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:30:24Z
1485127,0.009653,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:30:46Z
1507773,0.009657,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:31:09Z
1530419,0.009660,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:31:32Z
1553163,0.009663,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:31:54Z
1575713,0.009667,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:32:17Z
1598356,0.009670,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:32:40Z
1621005,0.009673,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:33:02Z
1666293,0.009545,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:33:48Z
1688941,0.009549,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:34:10Z
1711583,0.009554,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:34:33Z
1734250,0.009558,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:34:56Z
1756878,0.009562,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:35:18Z
1779535,0.009567,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:35:41Z
1802172,0.009571,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:36:03Z
1824810,0.009575,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:36:26Z
1847458,0.009579,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:36:49Z
1870103,0.009582,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:37:11Z
1892748,0.009586,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:37:34Z
1915492,0.009589,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:37:57Z
1938039,0.009593,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:38:19Z
1960687,0.009597,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:38:42Z
1983343,0.009600,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:39:05Z
2028622,0.009496,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:39:50Z
2051267,0.009500,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:40:13Z
2073910,0.009505,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:40:35Z
2119211,0.009407,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:41:21Z
2141899,0.009412,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:41:43Z
2164499,0.009417,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:42:06Z
2187136,0.009422,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:42:28Z
2209792,0.009427,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:42:51Z
2232425,0.009432,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:43:14Z
2255088,0.009436,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:43:36Z
2277724,0.009441,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:43:59Z
2300370,0.009445,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:44:22Z
2323020,0.009450,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:44:44Z
2345660,0.009454,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:45:07Z
2368403,0.009458,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:45:30Z
2390952,0.009462,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:45:52Z
2413625,0.009466,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:46:15Z
2436244,0.009470,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:46:38Z
2458889,0.009474,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:47:00Z
2481546,0.009478,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:47:23Z
2504185,0.009482,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:47:45Z
2526823,0.009485,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:48:08Z
2549475,0.009489,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:48:31Z
2572121,0.009493,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:48:53Z
2594770,0.009496,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:49:16Z
2617430,0.009499,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:49:39Z
2640060,0.009503,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:50:01Z
2662770,0.009506,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:50:24Z
2685346,0.009509,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:50:47Z
2707991,0.009513,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:51:09Z
2730646,0.009516,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:51:32Z
2753311,0.009519,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:51:55Z
2775928,0.009522,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:52:17Z
2798579,0.009525,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:52:40Z
2821316,0.009527,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:53:03Z
2843870,0.009531,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:53:25Z
2866512,0.009534,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:53:48Z
2889159,0.009536,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:54:10Z
2911804,0.009539,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:54:33Z
2934451,0.009542,AWcAAAJoAAMCAAAEAgAA,2022-01-04T19:54:56Z
