Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2021-12-31T14:38:12Z, 21365, 0.010484
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2021-12-31T14:38:35Z, 44050, 0.010170
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2021-12-31T14:38:58Z, 66734, 0.010070
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2021-12-31T14:39:20Z, 89431, 0.010019
QBXq3gAABAABsgROlhZJHbNQUEhtWWsTsuPXdA==,QBXq3gAABAABsgROlhZQHbMiUEhQWWsTsuPXdA==,QBXq3gAABAABsgROUBZJHbMipEhtWWsTUOPXdA==,QBXq3gAABAABsgROlhZJHbMipFBtWVATsuPXdA==,0.800000, 2021-12-31T14:39:58Z, 127108, 0.007049
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,0.833333, 2021-12-31T14:40:06Z, 134790, 0.008309
QBXq3gAABgABVMNJJTl9QPrU1L4GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTnUQPqK1L7UeSSSBfr7Wg==,QBXq3gAABgABVMNJ1Dl9QPqKb74GeSSS1Pr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb9QGedSSBfr7Wg==,0.714286, 2021-12-31T14:40:43Z, 172485, 0.006493
QBXq3gAABwAB5OQ9879HguwoKPHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9878oguzmKPEo9KkBAKGMUg==,QBXq3gAABwAB5OQ9KL9Hguzm2PHg9KkBKKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2Cjg9CgBAKGMUg==,0.625000, 2021-12-31T14:41:06Z, 195164, 0.005739
QBXq3gAACAABtnEGYBSOZlTDw0PrXEJY0/5Czg==,QBXq3gAACAABtnEGYBTDZlRdw0PDXEJY0/5Czg==,QBXq3gAACAABtnEGwxSOZlRdzkPrXEJYw/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzsPrXMNY0/5Czg==,0.666667, 2021-12-31T14:41:14Z, 202852, 0.006626
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.700000, 2021-12-31T14:41:36Z, 225538, 0.006952
