TotalTime(ms),Throughout(kbp),data,time
14729,0.015208,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:30:24Z
37415,0.011974,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:30:47Z
60340,0.011137,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:31:10Z
82783,0.010823,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:31:32Z
128155,0.008739,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:32:18Z
159008,0.008452,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:32:49Z
218897,0.007163,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:33:48Z
241585,0.007418,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:34:11Z
273132,0.007381,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:34:43Z
309646,0.007234,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:35:19Z
336546,0.007321,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:35:46Z
355020,0.007571,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:36:05Z
400398,0.007273,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:36:50Z
445835,0.007034,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:37:35Z
536508,0.006263,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:39:06Z
581885,0.006159,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:39:51Z
604569,0.006299,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:40:14Z
627257,0.006428,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:40:37Z
672631,0.006327,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:41:22Z
718009,0.006239,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:42:08Z
778373,0.006043,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:43:08Z
786069,0.006269,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:43:16Z
809060,0.006368,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:43:39Z
854125,0.006294,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:44:24Z
876805,0.006387,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:44:46Z
899502,0.006475,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:45:09Z
923274,0.006551,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:45:33Z
944870,0.006638,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:45:54Z
990243,0.006560,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:46:40Z
1035615,0.006489,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:47:25Z
1058306,0.006561,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:47:48Z
1080987,0.006631,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:48:11Z
1141358,0.006476,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:49:11Z
1149047,0.006628,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:49:19Z
1171734,0.006691,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:49:41Z
1217111,0.006626,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:50:27Z
1307851,0.006337,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:51:57Z
1330533,0.006397,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:52:20Z
1353235,0.006456,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:52:43Z
1398598,0.006406,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:53:28Z
1421291,0.006462,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:53:51Z
1467509,0.006411,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:54:37Z
1489350,0.006467,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:54:59Z
1514107,0.006509,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:55:24Z
1534720,0.006568,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:55:44Z
1558387,0.006612,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:56:08Z
1580088,0.006663,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:56:30Z
1625468,0.006615,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:57:15Z
1670842,0.006569,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:58:00Z
1693532,0.006613,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:58:23Z
1716208,0.006657,AWcAAAJoAAMCAAAEAgAA,2022-01-02T13:58:46Z
1806961,0.006446,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:00:17Z
1852338,0.006409,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:01:02Z
1875026,0.006451,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:01:25Z
1897716,0.006492,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:01:47Z
1943088,0.006456,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:02:33Z
1965777,0.006495,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:02:55Z
1988459,0.006534,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:03:18Z
2033828,0.006498,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:04:03Z
2124580,0.006326,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:05:34Z
2147269,0.006363,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:05:57Z
2169954,0.006400,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:06:20Z
2215327,0.006370,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:07:05Z
2246747,0.006381,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:07:36Z
2306120,0.006314,AWcAAAJoAAMCAAAEAgAA,2022-01-02T14:08:36Z
