TotalTime(ms),Throughout(kbp),data,time
10913,0.020527,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:08:15Z
33559,0.013350,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:08:38Z
56221,0.011953,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:09:01Z
78865,0.011361,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:09:23Z
101623,0.011021,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:09:46Z
124176,0.010823,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:10:09Z
146940,0.010671,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:10:31Z
169591,0.010567,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:10:54Z
192242,0.010487,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:11:17Z
214835,0.010427,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:11:39Z
237465,0.010376,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:12:02Z
350740,0.007664,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:13:55Z
373480,0.007797,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:14:18Z
396019,0.007919,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:14:40Z
418806,0.008023,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:15:03Z
441573,0.008116,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:15:26Z
487653,0.007809,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:16:12Z
509438,0.007915,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:16:34Z
531946,0.008001,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:16:56Z
554689,0.008077,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:17:19Z
577254,0.008149,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:17:42Z
599997,0.008213,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:18:04Z
622557,0.008276,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:18:27Z
645311,0.008331,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:18:50Z
667887,0.008385,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:19:12Z
690611,0.008433,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:19:35Z
713162,0.008481,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:19:58Z
735913,0.008523,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:20:20Z
758582,0.008563,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:20:43Z
781129,0.008603,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:21:06Z
803875,0.008638,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:21:28Z
826529,0.008672,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:21:51Z
849095,0.008706,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:22:14Z
871747,0.008736,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:22:36Z
894498,0.008765,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:22:59Z
917164,0.008792,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:23:22Z
939703,0.008820,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:23:44Z
962478,0.008844,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:24:07Z
985017,0.008869,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:24:29Z
1007757,0.008891,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:24:52Z
1030326,0.008914,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:25:15Z
1052972,0.008935,AWcAAAJoAAMCAAAEAgAA,2022-02-16T11:25:37Z
