Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-01-04T15:47:17Z, 16077, 0.013933
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-01-04T15:47:39Z, 38720, 0.011570
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-01-04T15:48:02Z, 61363, 0.010951
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-01-04T15:48:25Z, 84006, 0.010666
QBXq3gAABAABsgROlhZJHbMLC0htWWsTsuPXdA==,QBXq3gAABAABsgROlhYLHbMiC0htWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMiC0htWWsTC+PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWQsTsuPXdA==,0.800000, 2022-01-04T15:48:48Z, 106747, 0.008394
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,0.833333, 2022-01-04T15:49:10Z, 129298, 0.008662
QBXq3gAABgABVMNJJTl9QPoCAr4GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTkCQPqKAr4GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKAr4GeSSSAvr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeQKSBfr7Wg==,0.857143, 2022-01-04T15:49:33Z, 152009, 0.008842
QBXq3gAABwAB5OQ9879HguwFBfHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9878FguzmBfHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879HguzmBfHg9KkBBaGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9AUBAKGMUg==,0.750000, 2022-01-04T15:49:55Z, 174679, 0.007694
QBXq3gAACAABtnEGYBSOZlQDA0PrXEJY0/5Czg==,QBXq3gAACAABtnEGYBQDZlRdA0PrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdA0PrXEJYA/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXANY0/5Czg==,0.666667, 2022-01-04T15:50:18Z, 197325, 0.006811
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.700000, 2022-01-04T15:50:41Z, 219881, 0.007131
QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,0.727273, 2022-01-04T15:51:03Z, 242518, 0.007389
