TotalTime(ms),Throughout(kbp),data,time
18579,0.012057,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:38:12Z
41262,0.010858,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:38:35Z
63946,0.010509,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:38:57Z
86644,0.010341,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:39:20Z
132002,0.008485,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:40:05Z
200062,0.006718,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:41:13Z
222749,0.007039,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:41:36Z
245434,0.007301,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:41:59Z
268116,0.007519,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:42:21Z
313489,0.007145,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:43:07Z
358863,0.006866,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:43:52Z
404232,0.006650,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:44:38Z
441921,0.006589,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:45:15Z
449619,0.006975,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:45:23Z
487299,0.006895,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:46:01Z
517663,0.006923,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:46:31Z
540351,0.007047,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:46:54Z
578038,0.006975,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:47:31Z
585718,0.007266,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:47:39Z
608405,0.007364,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:48:02Z
631098,0.007454,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:48:24Z
655978,0.007512,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:48:49Z
676478,0.007616,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:49:10Z
714149,0.007528,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:49:47Z
721839,0.007758,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:49:55Z
759521,0.007668,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:50:33Z
767215,0.007883,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:50:41Z
789896,0.007940,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:51:03Z
850265,0.007640,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:52:04Z
857972,0.007832,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:52:11Z
880650,0.007885,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:52:34Z
903331,0.007935,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:52:57Z
948693,0.007792,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:53:42Z
986384,0.007721,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:54:20Z
994085,0.007887,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:54:27Z
1039448,0.007758,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:55:13Z
1062133,0.007803,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:55:35Z
1084816,0.007846,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:55:58Z
1122498,0.007783,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:56:36Z
1152873,0.007772,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:57:06Z
1175558,0.007812,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:57:29Z
1220932,0.007706,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:58:14Z
1258616,0.007653,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:58:52Z
1266306,0.007783,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:59:00Z
1311733,0.007684,AWcAAAJoAAMCAAAEAgAA,2021-12-31T14:59:45Z
1334372,0.007722,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:00:08Z
1357048,0.007758,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:00:30Z
1394734,0.007709,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:01:08Z
1402429,0.007826,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:01:16Z
1425118,0.007859,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:01:38Z
1447849,0.007890,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:02:01Z
1485479,0.007841,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:02:39Z
1493170,0.007951,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:02:46Z
1538539,0.007862,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:03:32Z
1576227,0.007816,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:04:10Z
1583913,0.007920,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:04:17Z
1629842,0.007834,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:05:03Z
1666970,0.007794,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:05:40Z
1674655,0.007892,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:05:48Z
1697340,0.007918,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:06:11Z
1720030,0.007944,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:06:33Z
1810779,0.007670,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:08:04Z
1848467,0.007634,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:08:42Z
1856154,0.007723,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:08:49Z
1878835,0.007749,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:09:12Z
1901519,0.007775,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:09:35Z
1939214,0.007739,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:10:13Z
1946895,0.007824,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:10:20Z
1969579,0.007847,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:10:43Z
1992267,0.007870,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:11:06Z
2037650,0.007805,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:11:51Z
2075349,0.007771,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:12:29Z
2098010,0.007794,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:12:51Z
2120699,0.007816,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:13:14Z
2128381,0.007893,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:13:22Z
2151080,0.007914,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:13:44Z
2173923,0.007934,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:14:07Z
2219134,0.007873,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:14:52Z
2256815,0.007841,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:15:30Z
2264501,0.007913,AWcAAAJoAAMCAAAEAgAA,2021-12-31T15:15:38Z
