TotalTime(ms),Throughout(kbp),data,time
1718440,0.009385,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:35:31Z
1741136,0.009392,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:35:54Z
1763894,0.009397,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:36:17Z
1786492,0.009404,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:36:39Z
1809272,0.009409,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:37:02Z
1854555,0.009300,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:37:47Z
1877247,0.009307,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:38:10Z
1899922,0.009314,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:38:33Z
1922890,0.009319,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:38:56Z
1945297,0.009327,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:39:18Z
1967984,0.009333,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:39:41Z
1990672,0.009340,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:40:03Z
2015471,0.009336,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:40:28Z
2036044,0.009351,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:40:49Z
2058737,0.009357,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:41:11Z
2081422,0.009363,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:41:34Z
2106217,0.009359,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:41:59Z
2126787,0.009374,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:42:19Z
2149477,0.009379,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:42:42Z
2172160,0.009384,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:43:05Z
2217536,0.009293,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:43:50Z
2240221,0.009299,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:44:13Z
2262903,0.009305,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:44:36Z
2285867,0.009309,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:44:59Z
