Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,0.833333, 2022-04-09T15:48:17Z, 230976, 0.014547
QBXq3gAAEgABj88jQzaTdZG9ve7dnHBra/lFmg==,QBXq3gAAEgABj88jQza9dZGEve7dnHBra/lFmg==,QBXq3gAAEgABj88jQzaTdZGEve7dnHBrvflFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnL1ra/lFmg==,0.842105, 2022-04-09T15:48:30Z, 243695, 0.014707
QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,0.850000, 2022-04-09T15:48:43Z, 256317, 0.014857
QBXq3gAAFAABW8ygIUNCROmenpXUFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUOeROnsnpXUFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsnpXUFsTknjJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFp7kbTJxwQ==,0.857143, 2022-04-09T15:48:55Z, 269023, 0.014988
QBXq3gAAFQAB7v3thZFtPjfZ2WijZJxpHq4WmA==,QBXq3gAAFQAB7v3thZHZPjfn2WijZJxpHq4WmA==,QBXq3gAAFQAB7v3thZFtPjfn2WijZJxp2a4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZNlpHq4WmA==,0.863636, 2022-04-09T15:49:08Z, 281675, 0.015110
QBXq3gAAFgABPf91rNkW5shbW4K9ooamoBEFXQ==,QBXq3gAAFgABPf91rNlb5sguW4K9ooamoBEFXQ==,QBXq3gAAFgABPf91rNkW5sguW4K9ooamWxEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9olumoBEFXQ==,0.826087, 2022-04-09T15:49:21Z, 294552, 0.014449
QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,0.833333, 2022-04-09T15:49:33Z, 307003, 0.014593
QBXq3gAAGAAB0m9KjfscKZtVVViKaAclYVKt8w==,QBXq3gAAGAAB0m9KjftVKZvmVViKaAclYVKt8w==,QBXq3gAAGAAB0m9KjfscKZvmVViKaAclVVKt8w==,QBXq3gAAGAAB0m9KjfscKZvmJ1iKaFUlYVKt8w==,0.800000, 2022-04-09T15:49:46Z, 319979, 0.014001
QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,0.807692, 2022-04-09T15:49:59Z, 332349, 0.014154
QBXq3gAAGgABCHVadsZTcYEtLUPAwDsGmCTZRw==,QBXq3gAAGgABCHVadsYtcYG9LUPAwDsGmCTZRw==,QBXq3gAAGgABCHVadsZTcYG9LUPAwDsGLSTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwC0GmCTZRw==,0.814815, 2022-04-09T15:50:11Z, 345025, 0.014283
