Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
gBXq3gAAAAABXxWWztt8OmxEFLwWWlFiwDSnxg==,gBXq3gAAAAABXxWWztt8OmxEFLwWWlFiwDSnxg==,1.000000, 2022-04-14T13:40:08Z, 17649, 0.012692
gBXq3gAAAAABXxWWztt8OmxEFLwWWlFiwDSnxg==,gBXi3gAwQAABX3Ycztv8OWxEFLz80FFi8Fcrxg==,1.000000, 2022-04-14T13:40:12Z, 22065, 0.020304
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1.000000, 2022-04-14T13:40:24Z, 33842, 0.019857
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1.000000, 2022-04-14T13:40:29Z, 38454, 0.023301
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1.000000, 2022-04-14T13:40:29Z, 38454, 0.029126
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1.000000, 2022-04-14T13:40:34Z, 43526, 0.030878
gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,1.000000, 2022-04-14T13:40:46Z, 56024, 0.027988
gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,1.000000, 2022-04-14T13:41:05Z, 74457, 0.024068
gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,gBXg3gAAAwAB3eFsREAqgm/7X4CXqtdbpw7wbw==,1.000000, 2022-04-14T13:41:07Z, 76347, 0.026406
gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,gBXg3gAAAwAB3eFsREAqgm/7X4CXqtdbpw7wbw==,1.000000, 2022-04-14T13:41:07Z, 76962, 0.029105
gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,gBXg3gAAAwAB3eFsREAqgm/7X4CXqtdbpw7wbw==,1.000000, 2022-04-14T13:41:07Z, 76963, 0.032015
gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,1.000000, 2022-04-14T13:41:13Z, 82237, 0.032686
gBXq3gAABAABsgROlhZJHbNbpEhbWWsTfUNPDA==,gBXq3gAABAABsgROlhZbHbMipEhbWWsTfUNPDA==,0.923077, 2022-04-14T13:41:27Z, 96448, 0.027870
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,0.928571, 2022-04-14T13:41:32Z, 101926, 0.028570
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,0.933333, 2022-04-14T13:41:38Z, 108185, 0.028987
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,0.937500, 2022-04-14T13:41:38Z, 108185, 0.031058
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,0.941176, 2022-04-14T13:41:44Z, 113617, 0.031545
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,0.944444, 2022-04-14T13:41:48Z, 117705, 0.032352
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,0.947368, 2022-04-14T13:41:48Z, 118016, 0.034165
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,0.950000, 2022-04-14T13:41:54Z, 124096, 0.034296
