Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-04-06T19:33:13Z, 15853, 0.014130
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-04-06T19:33:36Z, 38502, 0.011636
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-04-06T19:33:59Z, 61156, 0.010988
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-04-06T19:34:21Z, 83809, 0.010691
QBXq3gAABAABsgROlhZJHbMBAUhtWWsTsuPXdA==,QBXq3gAABAABsgROlhYBHbMiAUhtWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTAePXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWQETsuPXdA==,1.000000, 2022-04-06T19:34:44Z, 106482, 0.010518
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,1.000000, 2022-04-06T19:35:07Z, 129115, 0.010409
QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,1.000000, 2022-04-06T19:35:29Z, 151766, 0.010332
QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBAKGMUg==,1.000000, 2022-04-06T19:35:52Z, 174421, 0.010274
QBXq3gAACAABtnEGYBSOZlQBAUPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBQBZlRdAUPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJYAf5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXAFY0/5Czg==,1.000000, 2022-04-06T19:36:15Z, 197078, 0.010229
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,1.000000, 2022-04-06T19:36:37Z, 219730, 0.010194
QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,1.000000, 2022-04-06T19:37:00Z, 242387, 0.010166
