Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-02-16T11:08:16Z, 16443, 0.013623
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-02-16T11:08:39Z, 39094, 0.011460
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnAgIUMA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-02-16T11:09:02Z, 61757, 0.010881
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-02-16T11:09:24Z, 84399, 0.010616
QBXq3gAABAABsgROlhZJHbMODkhtWWsOsuPXdA==,QBXq3gAABAABsgROlhYOHbMipEgOWWsOsuPXdA==,QBXq3gAABAABsgRODhZJHbMipEhtWWsTDuPXdA==,QBXq3gAABAABsgROlhZJHbMipA5tDg4TsuPXdA==,1.000000, 2022-02-16T11:09:47Z, 107161, 0.010452
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,1.000000, 2022-02-16T11:10:10Z, 129711, 0.010361
QBXq3gAABgABVMNJJTl9QPoKCr4GeSQKBfr7Wg==,QBXq3gAABgABVMNJJTkKQPqKb74KeSQKBfr7Wg==,QBXq3gAABgABVMNJCjl9QPqKb74GeSSSCvr7Wg==,QBXq3gAABgABVMNJJTl9QPqKbwoGCgqSBfr7Wg==,1.000000, 2022-02-16T11:10:32Z, 152476, 0.010284
QBXq3gAABwAB5OQ9879HguwLC/Hg9KkLAKGMUg==,QBXq3gAABwAB5OQ9878Lguzm2PEL9KkLAKGMUg==,QBXq3gAABwAB5OQ9C79Hguzm2PHg9KkBC6GMUg==,QBXq3gAABwAB5OQ9879Hguzm2AvgCwsBAKGMUg==,1.000000, 2022-02-16T11:10:55Z, 175129, 0.010232
QBXq3gAACAABtnEGYBSOZlQKCkPrXEIK0/5Czg==,QBXq3gAACAABtnEGYBQGZlRdzkMGXEIG0/5Czg==,QBXq3gAACAABtnEGBhSOZlRdzkPrXEJYBv5Czg==,QBXq3gAACAABtnEGYBSOZlRdzgrrCgpY0/5Czg==,1.000000, 2022-02-16T11:11:18Z, 197779, 0.010193
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,1.000000, 2022-02-16T11:11:40Z, 220371, 0.010165
