Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1, 2021-12-30T19:44:17Z,27815,0.008053
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1, 2021-12-30T19:44:40Z,50511,0.008869
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1, 2021-12-30T19:45:02Z,73188,0.009182
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1, 2021-12-30T19:45:25Z,95852,0.009348
QBXq3gAABAABsgROlhZJHbO3t0htWWsTsuPXdA==,QBXq3gAABAABsgROlha3HbMit0htWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMit0htWWsTt+PXdA==,QBXq3gAABAABsgROlhZJHbMipLdtWbcTsuPXdA==,1, 2021-12-30T19:45:56Z,126481,0.008855
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,1, 2021-12-30T19:46:10Z,141229,0.009516
QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,1, 2021-12-30T19:46:33Z,163908,0.009566
QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBAKGMUg==,1, 2021-12-30T19:46:56Z,186594,0.009604
QBXq3gAACAABtnEGYBSOZlSurkPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBRRZlRdUUPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdUUPrXEJYUf5Czg==,QBXq3gAACAABtnEGYBSOZlRdzlHrXFFY0/5Czg==,0.888889, 2021-12-30T19:47:34Z,224280,0.00799
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.9, 2021-12-30T19:47:41Z,231986,0.00869
QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,0.909091, 2021-12-30T19:48:04Z,254652,0.008796
QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,0.916667, 2021-12-30T19:48:27Z,277353,0.008884
QBXq3gAADAABPKsQO4Q7vVnw8GZFU8OQcmtdZA==,QBXq3gAADAABPKsQO4TwvVkX8GZFU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkX8GZFU8OQ8GtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTPBFU/CQcmtdZA==,0.923077, 2021-12-30T19:48:50Z,301121,0.008927
