Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-01-11T12:30:14Z, 17338, 0.012920
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-01-11T12:30:37Z, 40001, 0.011200
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-01-11T12:31:22Z, 85293, 0.007879
QBXq3gAABAABsgROlhZJHbMHB0htWWsTsuPXdA==,QBXq3gAABAABsgROlhYHHbMiB0htWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMiB0htWWsTB+PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWQcTsuPXdA==,0.750000, 2022-01-11T12:31:45Z, 108044, 0.006220
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,0.800000, 2022-01-11T12:32:07Z, 130608, 0.006860
QBXq3gAABgABVMNJJTl9QPoKCr4GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTkKQPqKCr4GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKCr4GeSSSCvr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeQqSBfr7Wg==,0.666667, 2022-01-11T12:32:30Z, 153348, 0.005843
QBXq3gAABwAB5OQ9879HguwBAfHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9878BguzmAfHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879HguzmAfHg9KkBAaGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9AEBAKGMUg==,0.571429, 2022-01-11T12:32:53Z, 176003, 0.005091
QBXq3gAACAABtnEGYBSOZlQAAEPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBQAZlRdAEPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdAEPrXEJYAP5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXABY0/5Czg==,0.500000, 2022-01-11T12:33:16Z, 198655, 0.004510
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.555556, 2022-01-11T12:33:38Z, 221225, 0.005063
QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,0.600000, 2022-01-11T12:34:01Z, 243865, 0.005511
QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,0.636364, 2022-01-11T12:34:23Z, 266518, 0.005883
QBXq3gAADAABPKsQO4Q7vVkKCmZFU8OQcmtdZA==,QBXq3gAADAABPKsQO4QKvVkXCmZFU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXCmZFU8OQCmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFUwqQcmtdZA==,0.583333, 2022-01-11T12:34:46Z, 289300, 0.005420
QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UDcVbbw==,0.615385, 2022-01-11T12:35:09Z, 311824, 0.005747
