Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,0.722222, 2022-01-02T13:36:51Z, 402814, 0.007229
QBXq3gAAEgABj88jQzaTdZGnp+7dnHBra/lFmg==,QBXq3gAAEgABj88jQzandZGE1u6nnHBra/lFmg==,QBXq3gAAEgABj88jpzaTdZGEp+7dnHBrp/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1qfdnKdra/lFmg==,0.684211, 2022-01-02T13:37:28Z, 440493, 0.006611
QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,0.700000, 2022-01-02T13:37:36Z, 448250, 0.006996
QBXq3gAAFAABW8ygIUNCROl9fZXUFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUN9ROnsq5V9FsTkbTJxwQ==,QBXq3gAAFAABW8ygfUNCROnsfZXUFsTkfTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq33UFn3kbTJxwQ==,0.666667, 2022-01-02T13:38:14Z, 485934, 0.006454
QBXq3gAAFQAB7v3thZFtPje0tGijZJxpHq4WmA==,QBXq3gAAFQAB7v3thZG0PjfnmGi0ZJxpHq4WmA==,QBXq3gAAFQAB7v3ttJFtPjfntGijZJxptK4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmLSjZLRpHq4WmA==,0.636364, 2022-01-02T13:38:36Z, 508557, 0.006166
QBXq3gAAFgABPf91rNkW5sjS0oK9ooamoBEFXQ==,QBXq3gAAFgABPf91rNnS5sguDILSooamoBEFXQ==,QBXq3gAAFgABPf910tkW5sgu0oK9ooam0hEFXQ==,QBXq3gAAFgABPf91rNkW5sguDNK9otKmoBEFXQ==,0.608696, 2022-01-02T13:38:59Z, 531240, 0.005903
QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,0.625000, 2022-01-02T13:39:07Z, 538926, 0.006235
QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIEeAmzQ==,0.640000, 2022-01-02T13:39:52Z, 584302, 0.006134
QBXq3gAAGgABCHVadsZTcYG9PkPAwDsGmCTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwDsGmCTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwDsGmCTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwDsGmCTZRw==,0.653846, 2022-01-02T13:40:15Z, 606985, 0.006274
QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,0.666667, 2022-01-02T13:40:38Z, 629674, 0.006403
QBXq3gAAHAAB1OuDfwx4n3mvr0boDXUAuzvbGQ==,QBXq3gAAHAAB1OuDfwyvn3m3hkavDXUAuzvbGQ==,QBXq3gAAHAAB1OuDrwx4n3m3r0boDXUArzvbGQ==,QBXq3gAAHAAB1OuDfwx4n3m3hq/oDa8AuzvbGQ==,0.642857, 2022-01-02T13:41:15Z, 667362, 0.006042
QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,0.655172, 2022-01-02T13:41:23Z, 675048, 0.006305
QBXq3gAAHgABwR7mAGpUxF3BwYNYBwTedYNF4Q==,QBXq3gAAHgABwR7mAGrBxF3p6IPBBwTedYNF4Q==,QBXq3gAAHgABwR7mwWpUxF3pwYNYBwTewYNF4Q==,QBXq3gAAHgABwR7mAGpUxF3p6MFYB8HedYNF4Q==,0.633333, 2022-01-02T13:42:01Z, 712736, 0.005971
QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,0.645161, 2022-01-02T13:42:08Z, 720426, 0.006219
QBXq3gAAIAABvB0V4fm87G+qqpTKzbZv1v0sag==,QBXq3gAAIAABvB0V4fmq7G/yfZSqzbZv1v0sag==,QBXq3gAAIAABvB0Vqvm87G/yqpTKzbZvqv0sag==,QBXq3gAAIAABvB0V4fm87G/yfarKzapv1v0sag==,0.625000, 2022-01-02T13:42:46Z, 758108, 0.005909
QBXq3gAAIQABbhsX+9OS2bmIiLO8CfaFvfbGag==,QBXq3gAAIQABbhsX+9OI2blYnbOICfaFvfbGag==,QBXq3gAAIQABbhsXiNOS2blYiLO8CfaFiPbGag==,QBXq3gAAIQABbhsX+9OS2blYnYi8CYiFvfbGag==,0.636364, 2022-01-02T13:43:09Z, 780791, 0.006025
QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,0.647059, 2022-01-02T13:43:16Z, 788483, 0.006250
QBXq3gAAIwABLpOVrpJOweb393sVFvh4x6pqiQ==,QBXq3gAAIwABLpOVrpL3weZHJ3v3Fvh4x6pqiQ==,QBXq3gAAIwABLpOV95JOweZH93sVFvh496pqiQ==,QBXq3gAAIwABLpOVrpJOweZHJ/cVFvd4x6pqiQ==,0.657143, 2022-01-02T13:43:39Z, 811480, 0.006349
QBXq3gAAJAABSf3J7Xlmbsy7uyGRLwCq+5vZnw==,QBXq3gAAJAABSf3J7Xm7bsxPdyG7LwCq+5vZnw==,QBXq3gAAJAABSf3Ju3lmbsxPuyGRLwCqu5vZnw==,QBXq3gAAJAABSf3J7XlmbsxPd7uRL7uq+5vZnw==,0.638889, 2022-01-02T13:44:17Z, 848846, 0.006069
QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,0.648649, 2022-01-02T13:44:24Z, 856542, 0.006276
QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,0.657895, 2022-01-02T13:44:47Z, 879222, 0.006369
QBXq3gAAJwABFVGGQAXS2z61dRlDj1khRMRl6w==,QBXq3gAAJwABFVGGQAXS2z61dRlDj1khRMRl6w==,QBXq3gAAJwABFVGGQAXS2z61dRlDj1khRMRl6w==,QBXq3gAAJwABFVGGQAXS2z61dRlDj1khRMRl6w==,0.666667, 2022-01-02T13:45:10Z, 901916, 0.006457
QBXq3gAAKAABSS4eTr0LI4y/v2k3f+2pyk9UCA==,QBXq3gAAKAABSS4eTr2/I4wIo2m/f+2pyk9UCA==,QBXq3gAAKAABSS4ev70LI4wIv2k3f+2pv09UCA==,QBXq3gAAKAABSS4eTr0LI4wIo783f7+pyk9UCA==,0.675000, 2022-01-02T13:45:34Z, 925694, 0.006533
QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,0.682927, 2022-01-02T13:45:55Z, 947288, 0.006621
QBXq3gAAKgABDXnOEVf9cC92dnh2/2a1UASi/Q==,QBXq3gAAKgABDXnOEVd2cC+qXnh2/2a1UASi/Q==,QBXq3gAAKgABDXnOdlf9cC+qdnh2/2a1dgSi/Q==,QBXq3gAAKgABDXnOEVf9cC+qXnZ2/3a1UASi/Q==,0.666667, 2022-01-02T13:46:33Z, 984981, 0.006368
QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,QBXq3gAAKwABcpwrFok6FUfotE1IsvUxddMwbA==,0.674419, 2022-01-02T13:46:41Z, 992658, 0.006544
QBXq3gAALAABq2KqKOyVBWRWVsNHTVK1xLmp+Q==,QBXq3gAALAABq2KqKOxWBWQ0ssNWTVK1xLmp+Q==,QBXq3gAALAABq2KqVuyVBWQ0VsNHTVK1Vrmp+Q==,QBXq3gAALAABq2KqKOyVBWQ0slZHTVa1xLmp+Q==,0.659091, 2022-01-02T13:47:18Z, 1030345, 0.006305
QBXq3gAALQABEOD5TbK2ym8geweIhK4wlM4YVA==,QBXq3gAALQABEOD5TbK2ym8geweIhK4wlM4YVA==,QBXq3gAALQABEOD5TbK2ym8geweIhK4wlM4YVA==,QBXq3gAALQABEOD5TbK2ym8geweIhK4wlM4YVA==,0.666667, 2022-01-02T13:47:26Z, 1038034, 0.006474
QBXq3gAALgABezGozWdAYIYviwjX7yw0qNCZ2Q==,QBXq3gAALgABezGozWdAYIYviwjX7yw0qNCZ2Q==,QBXq3gAALgABezGozWdAYIYviwjX7yw0qNCZ2Q==,QBXq3gAALgABezGozWdAYIYviwjX7yw0qNCZ2Q==,0.673913, 2022-01-02T13:47:49Z, 1060725, 0.006546
QBXq3gAALwABwXy/RoVv8huFn5+It+uXrL5pow==,QBXq3gAALwABwXy/RoVv8huFn5+It+uXrL5pow==,QBXq3gAALwABwXy/RoVv8huFn5+It+uXrL5pow==,QBXq3gAALwABwXy/RoVv8huFn5+It+uXrL5pow==,0.680851, 2022-01-02T13:48:11Z, 1083404, 0.006616
QBXq3gAAMAABteoR4mOfSSxlZciHwgWkMoJXWA==,QBXq3gAAMAABteoR4mNlSSwziMhlwgWkMoJXWA==,QBXq3gAAMAABteoRZWOfSSwzZciHwgWkZYJXWA==,QBXq3gAAMAABteoR4mOfSSwziGWHwmWkMoJXWA==,0.666667, 2022-01-02T13:48:49Z, 1121098, 0.006394
QBXq3gAAMQABUB8zHXjvmHlJSWw6ZF4n1DTvKQ==,QBXq3gAAMQABUB8zHXhJmHk6f2xJZF4n1DTvKQ==,QBXq3gAAMQABUB8zSXjvmHk6SWw6ZF4nSTTvKQ==,QBXq3gAAMQABUB8zHXjvmHk6f0k6ZEkn1DTvKQ==,0.673469, 2022-01-02T13:49:12Z, 1143777, 0.006463
QBXq3gAAMgABNdE5hH/uNZRFLq5Qsdx16pVDOg==,QBXq3gAAMgABNdE5hH/uNZRFLq5Qsdx16pVDOg==,QBXq3gAAMgABNdE5hH/uNZRFLq5Qsdx16pVDOg==,QBXq3gAAMgABNdE5hH/uNZRFLq5Qsdx16pVDOg==,0.680000, 2022-01-02T13:49:19Z, 1151466, 0.006614
QBXq3gAAMwABiYGD/rg1IQBTMc3wsfOL1mXiNA==,QBXq3gAAMwABiYGD/rg1IQBTMc3wsfOL1mXiNA==,QBXq3gAAMwABiYGD/rg1IQBTMc3wsfOL1mXiNA==,QBXq3gAAMwABiYGD/rg1IQBTMc3wsfOL1mXiNA==,0.686275, 2022-01-02T13:49:42Z, 1174152, 0.006677
QBXq3gAANAABr0WED9NHCTfT0zBsSnR6Iwnvrg==,QBXq3gAANAABr0WED9PTCTdHxDDTSnR6Iwnvrg==,QBXq3gAANAABr0WE09NHCTdH0zBsSnR60wnvrg==,QBXq3gAANAABr0WED9NHCTdHxNNsStN6Iwnvrg==,0.673077, 2022-01-02T13:50:20Z, 1211963, 0.006469
QBXq3gAANQAB+l1E96kYoul6D0DtUegVMGLRDw==,QBXq3gAANQAB+l1E96kYoul6D0DtUegVMGLRDw==,QBXq3gAANQAB+l1E96kYoul6D0DtUegVMGLRDw==,QBXq3gAANQAB+l1E96kYoul6D0DtUegVMGLRDw==,0.679245, 2022-01-02T13:50:27Z, 1219529, 0.006612
QBXq3gAANgABjKV4KFS0+NheXomrTuwD0Riy7Q==,QBXq3gAANgABjKV4KFRe+NjGJYleTuwD0Riy7Q==,QBXq3gAANgABjKV4XlS0+NjGXomrTuwDXhiy7Q==,QBXq3gAANgABjKV4KFS0+NjGJV6rTl4D0Riy7Q==,0.666667, 2022-01-02T13:51:05Z, 1257206, 0.006414
QBXq3gAANwABr2SI8I3lD5qTk8e/E9ElM1sNMQ==,QBXq3gAANwABr2SI8I2TD5qRHMeTE9ElM1sNMQ==,QBXq3gAANwABr2SIk43lD5qRk8e/E9Elk1sNMQ==,QBXq3gAANwABr2SI8I3lD5qRHJO/E5MlM1sNMQ==,0.654545, 2022-01-02T13:51:35Z, 1286962, 0.006266
QBXq3gAAOAABAEbJcrsPbI2Tk2i/8422630vWg==,QBXq3gAAOAABAEbJcruTbI3bamiT8422630vWg==,QBXq3gAAOAABAEbJk7sPbI3bk2i/8422k30vWg==,QBXq3gAAOAABAEbJcrsPbI3bapO/85O2630vWg==,0.642857, 2022-01-02T13:51:50Z, 1302593, 0.006191
QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,QBXq3gAAOQABxQ3+xzgPmwB0+g1Cmkw/epIUlA==,0.649123, 2022-01-02T13:51:58Z, 1310267, 0.006325
QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,QBXq3gAAOgAB1HUBYACGbq3FwrphI5emdQ6R+w==,0.655172, 2022-01-02T13:52:21Z, 1332951, 0.006386
QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,QBXq3gAAOwABIBuB0NYbcSyYM1t224zq3VOM9A==,0.661017, 2022-01-02T13:52:44Z, 1355653, 0.006444
QBXq3gAAPAABa/AJcKjNWYA2NhoUDiAJvhdYKA==,QBXq3gAAPAABa/AJcKg2WYAKbRo2DiAJvhdYKA==,QBXq3gAAPAABa/AJNqjNWYAKNhoUDiAJNhdYKA==,QBXq3gAAPAABa/AJcKjNWYAKbTYUDjYJvhdYKA==,0.650000, 2022-01-02T13:53:21Z, 1393336, 0.006270
QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,QBXq3gAAPQABXy9OVwQqn4rOMK2OOd1An1d+0w==,0.655738, 2022-01-02T13:53:29Z, 1401016, 0.006395
QBXq3gAAPgAB9Rk7r6uEV6+/FnOFLNsup323dw==,QBXq3gAAPgAB9Rk7r6uEV6+/FnOFLNsup323dw==,QBXq3gAAPgAB9Rk7r6uEV6+/FnOFLNsup323dw==,QBXq3gAAPgAB9Rk7r6uEV6+/FnOFLNsup323dw==,0.661290, 2022-01-02T13:53:52Z, 1423709, 0.006451
QBXq3gAAPwABBAAyiwY4fJXMzH9SKsO9UhDrWg==,QBXq3gAAPwABBAAyiwbMfJUuYn/MKsO9UhDrWg==,QBXq3gAAPwABBAAyzAY4fJUuzH9SKsO9zBDrWg==,QBXq3gAAPwABBAAyiwY4fJUuYsxSKsy9UhDrWg==,0.650794, 2022-01-02T13:54:29Z, 1461398, 0.006284
QBXq3gAAQAAB6ftS3Yz+tbjGxsCVfm/KkSvfEA==,QBXq3gAAQAAB6ftS3YzGtbh0q8DGfm/KkSvfEA==,QBXq3gAAQAAB6ftSxoz+tbh0xsCVfm/KxivfEA==,QBXq3gAAQAAB6ftS3Yz+tbh0q8aVfsbKkSvfEA==,0.656250, 2022-01-02T13:54:38Z, 1469930, 0.006400
QBXq3gAAQQABvVZa3gi61npn4jLkl9+UhXaxrA==,QBXq3gAAQQABvVZa3gi61npn4jLkl9+UhXaxrA==,QBXq3gAAQQABvVZa3gi61npn4jLkl9+UhXaxrA==,QBXq3gAAQQABvVZa3gi61npn4jLkl9+UhXaxrA==,0.661538, 2022-01-02T13:55:00Z, 1491768, 0.006457
QBXq3gAAQgABc6JxGzmDksd+ftcIyvbJjBtdSg==,QBXq3gAAQgABc6JxGzl+ksfCO9d+yvbJjBtdSg==,QBXq3gAAQgABc6JxfjmDksfCftcIyvbJfhtdSg==,QBXq3gAAQgABc6JxGzmDksfCO34Iyn7JjBtdSg==,0.666667, 2022-01-02T13:55:24Z, 1516529, 0.006499
QBXq3gAAQwABqvMXy000AsoPB/I34Ss5GUmU0w==,QBXq3gAAQwABqvMXy000AsoPB/I34Ss5GUmU0w==,QBXq3gAAQwABqvMXy000AsoPB/I34Ss5GUmU0w==,QBXq3gAAQwABqvMXy000AsoPB/I34Ss5GUmU0w==,0.671642, 2022-01-02T13:55:45Z, 1537139, 0.006558
QBXq3gAARAABsygErIeD/8dqaqgSkrafQD63gg==,QBXq3gAARAABsygErIdq/8fGaqhqkrafQD63gg==,QBXq3gAARAABsygEaoeD/8fGaqgSkrafaj63gg==,QBXq3gAARAABsygErIeD/8fGamoSkmqfQD63gg==,0.676471, 2022-01-02T13:56:09Z, 1560808, 0.006602
