Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-01-11T13:49:41Z, 20019, 0.011189
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-01-11T13:50:03Z, 42666, 0.010500
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-01-11T13:50:26Z, 65353, 0.010283
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-01-11T13:50:50Z, 89813, 0.009976
QBXq3gAABAABsgROlhZJHbMJCUhtWWsJsuPXdA==,QBXq3gAABAABsgROlhYJHbMiCUgJWWsTsuPXdA==,QBXq3gAABAABsgROCRZJHbMipEhtWWsTCePXdA==,QBXq3gAABAABsgROlhZJHbMipAltWQkTsuPXdA==,1.000000, 2022-01-11T13:51:15Z, 114390, 0.009791
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,1.000000, 2022-01-11T13:51:34Z, 133274, 0.010084
QBXq3gAABgABVMNJJTl9QPoEBL4GeSQEBfr7Wg==,QBXq3gAABgABVMNJJTkEQPqKBL4EeSSSBfr7Wg==,QBXq3gAABgABVMNJBDl9QPqKb74GeSSSBPr7Wg==,QBXq3gAABgABVMNJJTl9QPqKbwQGeQSSBfr7Wg==,1.000000, 2022-01-11T13:51:57Z, 156057, 0.010048
QBXq3gAABwAB5OQ9879HguwKCvHg9KkKAKGMUg==,QBXq3gAABwAB5OQ9878KguzmCvEK9KkBAKGMUg==,QBXq3gAABwAB5OQ9Cr9Hguzm2PHg9KkBCqGMUg==,QBXq3gAABwAB5OQ9879Hguzm2Arg9AoBAKGMUg==,1.000000, 2022-01-11T13:52:19Z, 178754, 0.010025
QBXq3gAACAABtnEGYBSOZlQLC0PrXEIL0/5Czg==,QBXq3gAACAABtnEGYBQLZlRdC0MLXEJY0/5Czg==,QBXq3gAACAABtnEGCxSOZlRdzkPrXEJYC/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzgvrXAtY0/5Czg==,0.888889, 2022-01-11T13:52:42Z, 201431, 0.008896
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.900000, 2022-01-11T13:53:04Z, 223894, 0.009004
QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,0.909091, 2022-01-11T13:53:27Z, 246545, 0.009086
QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,0.916667, 2022-01-11T13:53:50Z, 269244, 0.009152
QBXq3gAADAABPKsQO4Q7vVkMDGZFU8MMcmtdZA==,QBXq3gAADAABPKsQO4QMvVkXDGYMU8OQcmtdZA==,QBXq3gAADAABPKsQDIQ7vVkXTGZFU8OQDGtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTAxFUwyQcmtdZA==,0.923077, 2022-01-11T13:54:13Z, 291947, 0.009207
