Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-01-11T10:26:27Z, 19225, 0.011651
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-01-11T10:26:50Z, 41932, 0.010684
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-01-11T10:27:12Z, 64519, 0.010416
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-01-11T10:27:35Z, 87166, 0.010279
QBXq3gAABAABsgROlhZJHbMEBEhtWWsTsuPXdA==,QBXq3gAABAABsgROlhYEHbMiBEhtWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTBOPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWQQTsuPXdA==,1.000000, 2022-01-11T10:27:58Z, 109918, 0.010189
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,1.000000, 2022-01-11T10:28:20Z, 132482, 0.010145
QBXq3gAABgABVMNJJTl9QPoKCr4GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTkKQPqKCr4GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSCvr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeQqSBfr7Wg==,1.000000, 2022-01-11T10:28:43Z, 155226, 0.010101
QBXq3gAABwAB5OQ9879HguwCAvHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9878CguzmAvHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBAqGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9AIBAKGMUg==,1.000000, 2022-01-11T10:29:06Z, 177772, 0.010080
QBXq3gAACAABtnEGYBSOZlQNDUPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBQNZlRdDUPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJYDf5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXA1Y0/5Czg==,1.000000, 2022-01-11T10:29:28Z, 200527, 0.010054
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,1.000000, 2022-01-11T10:29:51Z, 223089, 0.010041
QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,1.000000, 2022-01-11T10:30:14Z, 245746, 0.010027
QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB/n6ucg==,1.000000, 2022-01-11T10:30:36Z, 268391, 0.010015
QBXq3gAADAABPKsQO4Q7vVkICGZFU8OQcmtdZA==,QBXq3gAADAABPKsQO4QIvVkXCGZFU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQCGtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFUwiQcmtdZA==,1.000000, 2022-01-11T10:30:59Z, 291146, 0.010002
QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UDcVbbw==,1.000000, 2022-01-11T10:31:22Z, 313693, 0.009997
QBXq3gAADgABme9SPmYig5MAAKJEC385ivmH7g==,QBXq3gAADgABme9SPmYAg5MJAKJEC385ivmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC385APmH7g==,QBXq3gAADgABme9SPmYig5MJLaJECwA5ivmH7g==,1.000000, 2022-01-11T10:31:44Z, 336444, 0.009987
QBXq3gAADwABlTZyzE3lFJR/dZQRU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6Vm85mKEw==,1.000000, 2022-01-11T10:32:07Z, 359004, 0.009983
QBXq3gAAEAABlNIBRlELWCIFBdGbRVqZcw1G7g==,QBXq3gAAEAABlNIBRlEFWCKOBdGbRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZBQ1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRQWZcw1G7g==,0.941176, 2022-01-11T10:32:30Z, 381755, 0.009388
