Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAEgABj88jQzaTdZHU1u7UnHBra/lFmg==,QBXq3gAAEgABj88jQzbUdZGE1u7UnHBra/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnHBr1PlFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnNRra/lFmg==,0.722222, 2022-06-02T16:21:12Z, 242277, 0.012019
QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,0.736842, 2022-06-02T16:21:25Z, 254733, 0.012311
QBXq3gAAFAABW8ygIUNCROkbq5UbFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUMbROnsq5UbFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFsTkGzJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFhvkbTJxwQ==,0.700000, 2022-06-02T16:21:38Z, 267620, 0.011718
QBXq3gAAFQAB7v3thZFtPjeFmGiFZJxpHq4WmA==,QBXq3gAAFQAB7v3thZGFPjfnmGiFZJxpHq4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZJxpha4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZIVpHq4WmA==,0.714286, 2022-06-02T16:21:50Z, 280294, 0.011987
QBXq3gAAFgABPf91rNkW5sjjDILjooamoBEFXQ==,QBXq3gAAFgABPf91rNnj5sguDILjooamoBEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9ooam4xEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9ouOmoBEFXQ==,0.681818, 2022-06-02T16:22:03Z, 292967, 0.011469
QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,0.695652, 2022-06-02T16:22:16Z, 305419, 0.011735
QBXq3gAAGAAB0m9KjfscKZsXJ1gXaAclYVKt8w==,QBXq3gAAGAAB0m9KjfsXKZvmJ1gXaAclYVKt8w==,QBXq3gAAGAAB0m9KjfscKZvmJ1iKaAclF1Kt8w==,QBXq3gAAGAAB0m9KjfscKZvmJ1iKaBclYVKt8w==,0.666667, 2022-06-02T16:22:28Z, 318317, 0.011259
QBXq3gAAGQABJHFkMPFvoErDlnfDbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPHDoEqklnfDbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIw+AmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbsOIEeAmzQ==,0.680000, 2022-06-02T16:22:41Z, 330800, 0.011511
QBXq3gAAGgABCHVadsZTcYFHPkNHwDsGmCTZRw==,QBXq3gAAGgABCHVadsZHcYG9PkNHwDsGmCTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwDsGRyTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwEcGmCTZRw==,0.653846, 2022-06-02T16:22:54Z, 343652, 0.011081
QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,0.666667, 2022-06-02T16:23:06Z, 356107, 0.011322
QBXq3gAAHAAB1OuDfwx4n3mkhkakDXUAuzvbGQ==,QBXq3gAAHAAB1OuDfwykn3m3hkakDXUAuzvbGQ==,QBXq3gAAHAAB1OuDfwx4n3m3hkboDXUApDvbGQ==,QBXq3gAAHAAB1OuDfwx4n3m3hkboDaQAuzvbGQ==,0.642857, 2022-06-02T16:23:19Z, 368998, 0.010927
QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,0.655172, 2022-06-02T16:23:32Z, 381448, 0.011157
QBXq3gAAHgABwR7mAGpUxF2D6IODBwTedYNF4Q==,QBXq3gAAHgABwR7mAGqDxF3p6IODBwTedYNF4Q==,QBXq3gAAHgABwR7mAGpUxF3p6INYBwTeg4NF4Q==,QBXq3gAAHgABwR7mAGpUxF3p6INYB4PedYNF4Q==,0.633333, 2022-06-02T16:23:45Z, 394342, 0.010793
QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,0.645161, 2022-06-02T16:23:57Z, 406805, 0.011013
