TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,TotalPower7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
667122,1,1.250227,1.309665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.250227,0.999461,32.000000,9.000000,3.000000,0.761641,0.793651,1.396290,9.000000,3.000000,0.797851,0.746269,1.553876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:28:03Z
676136,0,1.314254,1.309665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.309665,0.999997,32.000000,9.000000,3.000000,0.800647,0.808824,1.400474,9.000000,3.000000,0.797851,0.746269,1.553876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:28:12Z
726248,0,1.194011,1.309665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.194011,0.997871,32.000000,9.000000,3.000000,0.727394,0.821918,1.419421,9.000000,3.000000,0.797851,0.746269,1.559077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:29:02Z
747286,1,1.194011,1.312002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.194011,0.997788,32.000000,9.000000,3.000000,0.727394,0.821918,1.426191,9.000000,3.000000,0.799275,0.733333,1.562214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:29:23Z
776337,0,1.226762,1.312002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.226762,0.998874,32.000000,9.000000,3.000000,0.747346,0.833333,1.435605,9.000000,3.000000,0.799275,0.733333,1.563695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:29:52Z
807434,1,1.226762,1.345628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.226762,0.997869,32.000000,9.000000,3.000000,0.747346,0.833333,1.441437,9.000000,3.000000,0.819759,0.740741,1.569103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:30:23Z
846522,0,1.274057,1.345628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.274057,0.999254,32.000000,9.000000,3.000000,0.776158,0.823529,1.449591,9.000000,3.000000,0.819759,0.740741,1.571535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:31:02Z
877627,1,1.274057,1.211008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.211008,0.999357,32.000000,9.000000,3.000000,0.776158,0.823529,1.454668,9.000000,3.000000,0.737749,0.738636,1.574891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:31:33Z
906696,0,1.324317,1.211008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.211008,0.998007,32.000000,9.000000,3.000000,0.806777,0.824176,1.461798,9.000000,3.000000,0.737749,0.738636,1.576955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:32:02Z
927772,1,1.324317,1.281059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.281059,0.999724,32.000000,9.000000,3.000000,0.806777,0.824176,1.466256,9.000000,3.000000,0.780424,0.752688,1.579822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:32:23Z
