TotalTime(ms),Throughput(kbp),PDR,data,time
12882,0.017389,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:10:50Z
25551,0.017534,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:11:03Z
38220,0.017583,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:11:16Z
50894,0.017605,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:11:28Z
63562,0.017621,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:11:41Z
76314,0.017611,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:11:54Z
88904,0.017637,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:12:06Z
101582,0.017641,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:12:19Z
114398,0.017623,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:12:32Z
126919,0.017649,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:12:44Z
152268,0.016182,0.916667,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:13:10Z
165155,0.016276,0.923077,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:13:23Z
177829,0.016375,0.928571,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:13:35Z
190497,0.016462,0.933333,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:13:48Z
203163,0.016538,0.937500,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:14:01Z
215839,0.016605,0.941176,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:14:13Z
228289,0.016681,0.944444,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:14:26Z
241183,0.016718,0.947368,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:14:39Z
253634,0.016780,0.950000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:14:51Z
266522,0.016809,0.952381,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:15:04Z
279196,0.016848,0.954545,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:15:17Z
291865,0.016885,0.956522,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:15:29Z
304321,0.016930,0.958333,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:15:42Z
317158,0.016951,0.960000,AWcAAAJoAAMCAAAEAgAA,2022-05-27T14:15:55Z
